"METEO","TIMESTAMP","TEMPERATURA","HUMEDAD(%)","LLUVIA(MM)","VELOCIDAD DEL VIENTO(KM/H)","DIRECCION DEL VIENTO"
"TM1",01/06/2016 0:09,"17,24","64,82",0,"5,28",8
"TM1",01/06/2016 0:19,"17,19","65,03",0,"2,4",5
"TM1",01/06/2016 0:29,"17,24","64,73",0,"5,28",9
"TM1",01/06/2016 0:39,"17,04","65,58",0,"1,92",9
"TM1",01/06/2016 0:49,"16,84","65,4",0,"3,36",9
"TM1",01/06/2016 0:59,"16,98","64,36",0,"5,76",8
"TM1",01/06/2016 1:09,"17,02","63,73",0,"5,28",10
"TM1",01/06/2016 1:19,"16,9","63,82",0,"8,16",8
"TM1",01/06/2016 1:29,"16,82","63,66",0,"3,84",7
"TM1",01/06/2016 1:39,"16,82","62,75",0,"3,36",9
"TM1",01/06/2016 1:49,"16,79","62,9",0,"4,32",7
"TM1",01/06/2016 1:59,"16,77","62,6",0,"7,2",9
"TM1",01/06/2016 2:09,"16,5","62,84",0,"3,36",8
"TM1",01/06/2016 2:19,"16,37","63,18",0,"3,36",8
"TM1",01/06/2016 2:29,"16,54","62,44",0,"2,88",8
"TM1",01/06/2016 2:39,"16,43","62,17",0,"2,88",7
"TM1",01/06/2016 2:49,"16,39","61,03",0,"6,24",7
"TM1",01/06/2016 2:59,"16,46","60,57",0,"4,8",6
"TM1",01/06/2016 3:09,"16,34","60,6",0,"5,28",7
"TM1",01/06/2016 3:19,"16,12","62,08",0,"3,84",8
"TM1",01/06/2016 3:29,"15,72","63,05",0,"4,32",10
"TM1",01/06/2016 3:39,"15,55","63,15",0,"6,24",7
"TM1",01/06/2016 3:49,"15,2","64,33",0,"2,4",10
"TM1",01/06/2016 3:59,"15,12","64,12",0,"3,36",9
"TM1",01/06/2016 4:09,"15,16","63,3",0,"1,92",5
"TM1",01/06/2016 4:19,"15,12","63,42",0,"4,32",8
"TM1",01/06/2016 4:29,"14,64","65,3",0,"2,4",7
"TM1",01/06/2016 4:39,"14,46","66,78",0,"5,28",9
"TM1",01/06/2016 4:49,"14,6","65,46",0,"5,76",9
"TM1",01/06/2016 4:59,"14,82","63,97",0,"3,36",6
"TM1",01/06/2016 5:09,"14,6","64,82",0,"3,36",9
"TM1",01/06/2016 5:19,"14,64","64,88",0,"3,36",8
"TM1",01/06/2016 5:29,"14,82","63,18",0,"3,36",8
"TM1",01/06/2016 5:39,"15,26","59,77",0,"4,32",8
"TM1",01/06/2016 5:49,"15,54","57,73",0,"5,28",6
"TM1",01/06/2016 5:59,"15,21","59,09",0,"5,76",7
"TM1",01/06/2016 6:09,"14,91","59,93",0,"4,8",8
"TM1",01/06/2016 6:19,"14,64","61,43",0,"3,84",9
"TM1",01/06/2016 6:29,"14,37","62,23",0,"2,4",9
"TM1",01/06/2016 6:39,"14,24","61,62",0,"3,36",12
"TM1",01/06/2016 6:49,"14,2","61,4",0,"2,4",8
"TM1",01/06/2016 6:59,"14,24","61,06",0,"4,32",10
"TM1",01/06/2016 7:09,"14,38","59,96",0,"5,76",10
"TM1",01/06/2016 7:19,"14,7","57,73",0,"8,64",9
"TM1",01/06/2016 7:29,"15,06","56,92",0,"3,36",8
"TM1",01/06/2016 7:39,"15,44","54,98",0,"6,72",9
"TM1",01/06/2016 7:49,"15,76","53,82",0,"3,36",7
"TM1",01/06/2016 7:59,"16,13","51,8",0,"2,88",10
"TM1",01/06/2016 8:09,"16,66","49,99",0,"3,84",9
"TM1",01/06/2016 8:19,"17,18","47,65",0,"2,4",12
"TM1",01/06/2016 8:29,"17,76","46,43",0,"3,36",11
