"ANY","KILOS","MES","residuo","Gestor"
2016,56340,"GENER","ENVASES DE PLÀSTIC","ECOEMBES"
2016,52980,"FEBRER","ENVASES DE PLÀSTIC","ECOEMBES"
2016,62060,"MARÇ","ENVASES DE PLÀSTIC","ECOEMBES"
2016,57000,"ABRIL","ENVASES DE PLÀSTIC","ECOEMBES"
2016,61520,"MAIG","ENVASES DE PLÀSTIC","ECOEMBES"
2016,61780,"JUNY","ENVASES DE PLÀSTIC","ECOEMBES"
2016,62000,"JULIOL","ENVASES DE PLÀSTIC","ECOEMBES"
2016,52000,"AGOST","ENVASES DE PLÀSTIC","ECOEMBES"
2016,62140,"SETEMBRE","ENVASES DE PLÀSTIC","ECOEMBES"
2016,58160,"OCTUBRE","ENVASES DE PLÀSTIC","ECOEMBES"
2016,63220,"NOVEMBRE","ENVASES DE PLÀSTIC","ECOEMBES"
2016,65080,"DESEMBRE","ENVASES DE PLÀSTIC","ECOEMBES"
