"ANY","KILOS","MES","residuo","Gestor"
2016,2590780,"GENER","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2417360,"FEBRER","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2607700,"MARÇ","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2621700,"ABRIL","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2819980,"MAIG","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2881260,"JUNY","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2978500,"JULIOL","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2752240,"AGOST","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2649860,"SETEMBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2661120,"OCTUBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2492640,"NOVEMBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
2016,2804200,"DESEMBRE","RSU - ORGÀNIC (DOMICILIARI)","EMTRE"
