"ANY","KILOS","MES","residuo","Gestor"
2015,0,"GENER","VIDRE","ECOVIDRIO"
2015,122235,"FEBRER","VIDRE","ECOVIDRIO"
2015,49725,"MARÇ","VIDRE","ECOVIDRIO"
2015,21552,"ABRIL","VIDRE","ECOVIDRIO"
2015,53061,"MAIG","VIDRE","ECOVIDRIO"
2015,44063,"JUNY","VIDRE","ECOVIDRIO"
2015,90793,"JULIOL","VIDRE","ECOVIDRIO"
2015,17124,"AGOST","VIDRE","ECOVIDRIO"
2015,98244,"SETEMBRE","VIDRE","ECOVIDRIO"
2015,22920,"OCTUBRE","VIDRE","ECOVIDRIO"
2015,10813,"NOVEMBRE","VIDRE","ECOVIDRIO"
2015,61054,"DESEMBRE","VIDRE","ECOVIDRIO"
