,"Agua entrada EDAR(m3) ","Agua Pre-tratada EDAR(m3)","Agua Reutilizada EDAR Torrent(m3)","Fango deshidratado aplicado en agricultura"
"ene.-15",378.727,378.727,159.703,189.460
"feb.-15",360.767,360.767,141.307,188.950
"mar.-15",412.977,412.977,149.713,190.240
"abr.-15",386.291,386.291,145.121,168.750
"may.-15",402.147,402.147,143.498,210.560
"jun.-15",401.335,401.335,142.830,189.490
"jul.-15",423.443,423.443,157.882,211.200
"ago.-15",392.817,392.817,151.818,195.120
"sep.-15",400.857,400.857,150.962,176.950
"oct.-15",388.449,388.449,152.821,168.400
"nov.-15",388.412,388.412,147.707,233.830
"dic.-15",385.708,385.708,157.492,192.360
