"NRMA","Nom Associació","Adreça 1","CP","Municipi","Adreça 2","CP","Municipi","Telèfon 1","Telèfon 2","Telèfon 3","Telèfon mòbil 1","TM1 Càrrec","Telèfon mòbil 2","TM2 Càrrec","Telèfon mòbil 3","Fax","Correu electrònic 1","CE 1 Referència","Correu electrònic 2","CE 2 Referència","Correu electrònic 3","Pàgina Web 1","Pàgina Web 2","Xarxes Socials 1","Xarxes Socials 2","President","Vicepresident"
1,"AMPA. COL·LEGI PÚBLIC LOPE DE VEGA            ","c/ Francisco Roselló, 27",46900,"TORRENT",,,,961550206,,,622261439,,,,,961588400,"46008704@edu.gva.es","Col·legi","dorimp77@hotmail.com","President",,,,,,"Adoración Morejudo Pérez",
2,"ASOCIACION DE VECINOS PINTOR BENEDICTO","c/ Pintor Benedito (patio interior) ",46900,"TORRENT",,,,,,,660540736,,,,,,"pintorbenedito@hotmail.com",,,,,,,,,"Miguel Angel Cebrian Martinez",
3,"ASOCIACION CULTURAL JUVENIL TIERNO GALVAN","c/ Federico Maicas 26-B",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
4,"AMPA DEL COLEGIO PUBLICO SAN PASCUAL","c/ Padre Méndez 149",46900,"TORRENT",,,,961552093,961552136,,,,,,,,,,,,,,,,,"Esther Sanchez Gonalez",
5,"UNION DEMOCRATICA DE JUBILADOS Y PENSIONISTAS DE ESPAÑA","c/ Virgen del Olivar 40 ",46900,"TORRENT",,,,961557818,,,,,,,,,"upd@matoresudp.org",,,,,,,,,,
6,"APA COLEGIO PUBLICO JUAN XXIII","Partida de l'Alter 31",46900,"TORRENT",,,,961575563,961552061,961588399,,,,,,,,,,,,,,,,"Mª Dolores Almansa Requen",
7,"ASOCIACION CULTURAL DEPORTIVA JUVENIL LA TORTUGA","c/ Federico Maicas 26-B",46900,"TORRENT",,,,961098178,,,657272170,,,,,,,,,,,,,,,"Daniel Ruiz Romero",
8,"ASOCIACIÓN DE VECINOS NICOLAS ANDREU","c/ Nicolás Andreu 11",46900,"TORRENT",,,,,,,696580525,,,,,,"deco444@hotmail.es",,,,,,,,,"Faustino Zamora Lozano",
9,"ASOCIACION DE VECINOS CAMI LA NORIA Y COLINDANTES","c/ San Amador 10 bj",46900,"TORRENT",,,,961294125,,,,,,,,,"avvcamilanoria@hotmail.es",,,,,,,,,"Jesus Jimenez Aibar",
10,"ASOCIACION DE VECINOS 25 ABRIL","c/ La Marina 3 b",46900,"TORRENT",,,,961551847,,,645936103,,,,,,,,,,,,,,,"Fernando Yaguë Mateo",
11,"ASSOCIACIÓ CIUTAT JARDI","c/ Albades, s/n (centro social)",46900,"TORRENT",,,,961552077,,,652025106,,669121856,,608574754,,,,,,,,,,,"Isidoro Torres Moya",
12,"ASOCIACIÓN CULTURAL JUVENIL ERNESTO CHE GUEVARA",,46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
13,"FEDERACION DE ASOCIACIONES CIUDADANAS DE TORRENT Y COMARCA (F.A.C)","c/ Gómez Ferrer 12 -2",46900,"TORRENT",,,,961564997,,,610704156,,,,,961564997,"fachortasud@gmail.com",,"presidente@aw-vedat.com",,,,,,,"Vicente Laencina Ramirez",
14,"ARTIC-ASOCIACION ALCOHOLICOS REHABILITADOS TORRENT Y COMARCA","c/ Hospital 6",46900,"TORRENT",,,,961565658,,,,,,,,961565658,"cdartic@yahoo.es ",,,,,"www.artictorrent.org",,,,"Alfonso Lopez Chapa",
15,"ASOCIACIÓN DE VECINOS CALLE EL SOL Y ADYECENTES","c/ El Sol, 20 Bajo",46900,"TORRENT",,,,961558954,,,687867338,,,,,,"jmoreno@centrovalenciano.com",,,,,,,,,"Jose Moreno López",
16,,,46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
17,,,46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
18,"ASOCIACION DE VECINOS LA TORRE-CENTRO HISTORICO ASSOCIACIÒ DE VEÏNS LA TORRE-CENTRE HISTÒRIC","c/ Bellido núm. 8",46900,"TORRENT",,,,961550339,,,675868162,,,,,,"juliomcatala@gmail.com. ",,,,,,,,,"Jose Conejeros Lorente","Jose Molins Benavent"
19,"JUVENIL NUEVAS GENERACIONES DE ALIANZA POPULAR","c/ Maestro Victoriano Andres, 7",46900,"TORRENT",,,,961550900,,,666457101,,679329219,,,,"gallegom@torrent.es",,,,,,,,,"Jose Vte. Gallego Madrany",
20,"PADRES ALUMNOS COLEGIO PÚBLICO ANTONIO MACHADO","c/ Azorín, 13",46900,"TORRENT",,,,961554090,,,665490121,,,,,,,,,,,,,,,"Jose Mª Fernandez Guil",
21,"ASOCIACIÓN DE VECINOS LOPE DE VEGA","c/ Sedaví, 11",46900,"TORRENT",,,,961552999,,,,,,,,,,,,,,,,,,,
