FARMÀCIA,ADREÇA,CP,"TELÈFON 1","TELÈFON 2",FAX,"CORREU ELECTRÒNIC",WEB,HORARI,UBICACIÓ
A. DE GREGORIO,C/ SANT ERNEST 2,46900,96 129 49 15,,,,,Dilluns-Divendres: De 9 a 14 i de 16.30 a 20.30 h Dissabte: De 9.30 a 14 h,39.43841988761215,-0.45979633927345276
A. MARTÍNEZ,AVDA. AL VEDAT 113,46900,96 155 54 51,,,,,Dilluns-Divendres: De 9.30 a 13.30 i de 16.30 a 20 h Dissabte: De 9.30 a 13.30 h,39.43100666305031,-0.47399595379829407
C. HORTIGÜELA,C/ GÓMEZ FERRER 49,46900,96 155 14 83,,,,,Dilluns-Divendres: De 9.30 a 13.30 i de 16.30 a 20 h Dissabte: De 9.30 a 13.30 h,39.439136619771695,-0.46380892395973206
C. VICEDO,AVDA. AL VEDAT 132,46900,96 156 21 00,,,,,Dilluns-Divendres: De 9 a 14 i de 16:30 a 21 h Dissabte: De 9 a 14 i de 16.30 a 21 h,39.42950983554032,-0.4774037003517151
E. BENLLOCH,AVDA. AL VEDAT 6,46900,96 155 02 17,,,,,Dilluns-Divendres: De 9.30 a 13.30 i de 16.30 a 20 h Dissabte: De 9.30 a 13.30 h,39.43635665213348,-0.4663369059562683
F. NAVARRO GOMEZ-LOBO C.B,C/ L'HORTA 17,46900,96 156 45 58,,,,,Dilluns-Divendres: De 9 a 21 h Dissabte: De 9 a 14 h,39.432958187788124,-0.474335253238678
FARMACIA CAMÍ REIAL,CAMÍ REIAL 112,46900,96 157 29 93,,,,,Dilluns-Divendres: De 9.30 a 13.30 i de 16.30 a 20 h Dissabte: De 9 a 13.30 h,39.43388006740678,-0.4801543056964874
FARMÀCIA EL VEDAT,AVDA. SANT LLORENÇ 121,46901,96 157 23 75,,,,http://farmaciaelvedat.com/,Dilluns-Divendres: De 9 a 14 i de 16:30 a 21h Dissabte: De 9.30 a 14h,39.42194958842423,-0.4887467622756958
FARMACIA FERRANDIS,C/ FRA LLUIS AMIGÓ 2,46900,96 156 13 81,,,,,Dilluns-Divendres: De 9 a 22 h Dissabte: De 9 a 22 h Diumenge: De 11:00 a 21:00 h Festius: De 11:00 a 21:00 h ,39.4356471418773,-0.4639926552772522
FARMACIA JUAN CARLOS I,AVDA. REY JUAN CARLOS I 1,46900,96 156 18 84,640 259 157,,,,Dilluns-Dissabte: De 9.00 h a 21.00 h,39.42947,-0.47081
