CAST,VAL,VIA_V,VIA_C,VAL_L
ALAM/ REINA SOFIA,ALBEREDA REINA SOFIA,ALAM,ALM,ALBEREDA REINA SOFÍA
AV/ AL VEDAT,AV/ AL VEDAT,AV/,AV/,AV/ AL VEDAT
AV/ BARCELONA'92,AV/ BARCELONA-92,AV/,AV/,AV/ BARCELONA-92
AV/ MAR MEDITERRANI,AV/ MAR MEDITERRANI,AV/,AV/,AV/ MAR MEDITERRANI
AV/ MARXADELLA, LA,AV/ MARJADELLA,AV/,AV/,AV/ MARJADELLA
AV/ OLIMPICA,AV/ OLIMPICA,AV/,AV/,AV/ OLÍMPICA
AV/ PADRE PRUDENCIO,AV/ PARE PRUDENCIO,AV/,AV/,AV/ PARE PRUDENCIO
AV/ PEREZ GALDOS,AV/ PEREZ GALDOS,AV/,AV/,AV/ PÉREZ GALDÓS
AV/ REY DON JUAN CARLOS I,AV/ REI JOAN CARLES I,AV/,AV/,AV/ REI JOAN CARLES I
AV/ SAN LORENZO,AV/ SANT LLORENÇ,AV/,AV/,AV/ SANT LLORENÇ
AV/ SANTA APOLONIA,AV/ SANTA APOL ·LONIA.,AV/,AV/,AV/ SANTA APOL ·LÒNIA.
BARRIO SAN JUAN BOSCO,BARRI SANT JOAN BOSCO,BARRI,BARRIO,BARRI SANT JOAN BOSCO
BARRIO VIRGEN DE LA PALOMA,BARRI MARE DE DEU DE LA PALOMA,BARRI,BARRIO,BARRI MARE DE DÉU DE LA PALOMA
BO CONCEPCION , LA,BARRI CONCEPCIO,BARRI,BARRIO,BARRI CONCEPCIÓ
C/  PIROTÈCNICS JERICÓ, DELS,C/  PIROTECNICS JERICO,C/,C/,C/  PIROTÈCNICS JERICÓ
C/ 15 DE JUNY,C/ QUINZE DE JUNY,C/,C/,C/ QUINZE DE JUNY
C/ 2 DE MAYO,C/ DOS DE MAIG,C/,C/,C/ DOS DE MAIG
C/ 25 DE ABRIL,C/ VINT-I-CINC D'ABRIL,C/,C/,C/ VINT-I-CINC D'ABRIL
C/ 6 DE DESSEMBRE,C/ SIS DE DESEMBRE,C/,C/,C/ SIS DE DESEMBRE
C/ ABASTECEDORES,C/ ABASTIDORS,C/,C/,C/ ABASTIDORS
C/ ABDERRAMAN III,C/ ABD-AL-RAHMAN III,C/,C/,C/ ABD-AL-RAHMAN III
