Expte_Nº,Expte_Departamento,Trámite,Fecha Inicio,N Registro,Año
13544/2015/GEN,Unitat Administrativa de Llicencies,URBA-104 Cambio de titular de actividades,11-nov-15,-,2015
13545/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,11-nov-15,2015037122,2015
13546/2015/GEN,Unitat Administrativa de Llicencies,URBA-121 Licencia urbanística de demolición,11-nov-15,2015037236,2015
13547/2015/GEN,Unitat Administrativa Disciplina Urbanística,"URBA-068 ORDEN DE EJECUCIÓN DE LIMPIEZA, PODA, TALA DE LA ARBOLEDA Y/O VALLADO DE LOS SOLARES O PARCELAS",11-nov-15,2015025433,2015
13548/2015/GEN,Unitat Administrativa de Llicencies,URBA-122 Licencia ambiental. Modificación sustancial de licencia ambiental,11-nov-15,-,2015
13549/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-010 CERTIFICADO DE NO ACTIVIDAD,11-nov-15,2015037285,2015
13550/2015/GEN,Unitat Gestió de Personal,Proces General - RRHH,11-nov-15,2015037337,2015
13551/2015/GEN,Unitat Oficina Pressupostària i Subvencions,OPRE-006 Justificación de la subvención,11-nov-15,2015037521,2015
13552/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-013 Documentación procedente de otros organismos públicos,11-nov-15,2015027801,2015
13553/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,11-nov-15,2015037484,2015
13554/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,11-nov-15,2015037488,2015
13555/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-013 Documentación procedente de otros organismos públicos,11-nov-15,2015027802,2015
13556/2015/GEN,Unitat Administrativa Disciplina Urbanística,URBA-018 INFORMES URBANÍSTICOS,11-nov-15,2015037405,2015
13557/2015/GEN,Unitat dEstadistica,ESTD-002 CERTIFICADO DE EMPADRONAMIENTO HISTÓRICO,11-nov-15,2015037432,2015
13558/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,11-nov-15,2015037462,2015
13559/2015/GEN,Servici de Contratació i Compres,CONT-008 Aprobación de certificaciones,11-nov-15,2015037344,2015
