"Codigo","Direccion","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","TOTAL"
"TO101","C/ Padre Mendez,118","711","440","592","644","992","902","832","794","769","982","744","780","9.182"
"TO102","C/ Padre Mendez,122 Y 124","625","473","622","905","1.011","720","652","617","797","1.040","920","647","9.029"
"TO103","C/ San Valeriano esq C/Constitucion,50","915","679","785","968","1.014","834","1.085","774","953","1.012","1.253","759","11.031"
"TO104","C/San Raimundo de Peñafort,9","96","124","223","343","410","377","121","221","169","453","291","112","2.940"
"TO105","C/ La Coruña frente al nº14","567","378","378","635","694","652","518","855","707","878","754","681","7.697"
"TO106","Avda Padre Prudencio,1","213","288","178","224","684","348","209","64","498","324","374","269","3.673"
"TO107","C/ Canonigo Gisbert,frente al nº 8","498","246","366","383","794","535","674","351","711","688","628","386","6.260"
"TO109","C/ Granerers,15 (frente al colegio El Moli)","345","508","229","739","554","640","514","487","867","1.089","502","395","6.869"
"TO110",""C/ Constitucion (frente Colegio 'Teresianas')"","767","451","339","800","872","907","722","825","981","1.201","814","712","9.391"
"TO111","Avda San Lorenzo","751","487","585","785","965","1.018","1.046","938","976","1.334","933","686","10.504"
"TO112","C/San Juan Bautista s/n (ECOPARQUE)","0","234","0","45","151","168","0","126","0","100","170","194","1.188"
"TO114","Padre Mendez 168 (Frente I.E.S MARXADELLA)","334","197","263","666","730","411","321","404","578","687","644","517","5.752"
"TO115","Pintor Genaro Palau","417","347","343","620","920","606","584","547","579","746","799","372","6.880"
"TO116","Benemerita Guardia Civil","153","111","197","266","540","116","100","322","335","207","368","244","2.959"
"TO117","C/ Moralets,1","242","105","230","279","490","257","218","180","309","347","327","195","3.179"
"TO118","C/ Virgen del Rosario esquina C/ Fray Luis amigo","176","175","165","358","320","203","155","21","348","384","335","107","2.747"
"TO119","C/ L´ermita","78","96","66","21","121","72","62","59","46","82","108","51","862"
"TO120","Avda Perez Galdos","302","150","294","229","565","210","213","239","256","283","380","161","3.282"
"TO121","C/ Albocasser,2","212","179","109","288","520","163","128","252","182","409","370","128","2.940"
"TO122","C/ Calvario esquina Padre Mendez","363","186","158","333","696","348","265","426","373","376","411","294","4.229"
"TO123","Mercado de Sant Gregorio","389","165","163","450","690","417","141","358","208","444","384","232","4.041"
"TO124","C/ Baviera,","170","39","168","184","431","115","238","247","282","350","229","133","2.586"
"TO125","C/ D´Hernandez Malillos (Colegio Lope de Vega)","101","114","171","240","372","211","126","191","151","233","233","47","2.190"
"TO126","Plaza Fray Antonio Panes","192","135","182","298","467","284","158","322","291","482","187","274","3.272"
"TO127","C/ Maestro Giner (Colegio San Jose y Sta Ana","179","168","200","403","377","481","159","64","426","542","395","379","3.773"
"TO128","C/ De l´estació","135","173","130","129","392","93","98","217","81","335","189","31","2.003"
"TOTAL MENSUAL","","8.931","6.648","7.136","11.235","15.772","11.088","9.339","9.901","11.873","15.008","12.742","8.786","128.459"
