;"Ayuntamiento
de Valladolid";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Evolución de la población de Valladolid por Distritos;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Distrito;;;1-III-1981;1-IV-1986;1-III-1991;1-V-1996;1-I-2001;1-I-2002;1-I-2003;1-I-2004;1-I-2005;1-I-2006;1-I-2007;1-I-2008;1-I-2009;1-I-2010;1-I-2011;1-I-2012;1-I-2013;1-I-2014;1-I-2015;1-I-2016;1-I-2017(*);1-VII-2017(*)
;1;;;6.212;6.422;6.156;5.475;5.141;4.961;4.881;4.705;4.594;4.533;4.437;4.324;4.268;4.171;4.152;4.105;4.035;3.952;3.902;3.824;3.873;3.837
;2;;;22.405;21.996;21.132;19.115;17.971;17.657;17.587;17.295;17.068;16.859;16.474;16.370;16.098;15.970;15.761;15.597;15.366;15.189;14.849;14.703;14.740;14.550
;3;;;12.312;11.281;10.378;9.307;8.804;8.672;8.608;8.538;8.534;8.532;8.400;8.272;8.206;8.061;7.951;7.821;7.757;7.672;7.575;7.538;7.601;7.527
;4;;;50.825;50.263;49.945;48.332;46.249;45.978;46.087;46.050;45.889;45.477;45.203;45.834;46.004;45.678;45.274;45.017;44.554;44.122;43.623;43.348;43.331;42.872
;5;;;7.068;6.464;6.152;5.675;5.675;5.858;5.884;6.014;6.107;5.966;5.536;5.557;5.462;4.944;4.894;4.920;4.861;4.799;4.789;4.723;4.764;4.724
;6;;;48.817;48.549;47.232;44.072;41.450;41.062;41.227;41.201;41.059;40.790;40.393;40.668;40.427;40.207;39.792;39.304;39.057;38.713;38.176;37.813;37.728;37.354
;7;;;23.408;24.551;24.312;22.964;21.767;21.652;21.857;21.739;21.641;21.428;21.070;21.086;20.867;20.549;20.491;20.664;20.638;20.557;20.309;20.160;20.230;20.102
;8;;;55.861;52.537;50.203;46.052;43.756;43.255;42.887;42.478;41.822;41.195;39.917;39.474;38.748;37.942;37.284;36.416;36.011;35.327;34.676;34.282;34.234;33.887
;9;;;16.075;15.806;15.937;14.590;13.609;13.480;13.446;13.181;12.903;12.704;12.473;12.270;12.046;11.843;11.712;11.434;11.291;11.088;10.974;10.856;10.802;10.783
;10;;;34.303;46.595;56.077;61.065;65.298;66.200;67.162;67.809;68.171;68.422;68.368;69.495;70.151;70.265;70.056;70.065;70.054;69.819;69.470;69.143;69.607;69.311
;11;;;40.023;40.477;40.706;40.609;45.265;46.448;47.959;48.961;49.374;50.092;50.188;50.911;51.224;51.436;51.475;51.529;51.402;50.913;50.843;50.747;51.199;51.125
;12;;;2.972;2.511;2.470;2.549;3.308;3.353;3.558;3.742;3.839;3.945;4.105;4.200;4.363;4.456;4.595;4.629;4.688;4.679;4.719;4.739;4.775;4.752
;Total;;;320.281;327.452;330.700;319.805;318.293;318.576;321.143;321.713;321.001;319.943;316.564;318.461;317.864;315.522;313.437;311.501;309.714;306.830;303.905;301.876;302.884;300.824
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Fuente: Censos de Población y Padrones de Habitantes. Instituto Nacional de Estadística (I.N.E.). Ayuntamiento de Valladolid;;;;;;;;;;;;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;;;;;;;;;
;(*) Fuente: Ayuntamiento de Valladolid, lectura de la base de datos del Padrón de Habitantes. ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Nota: las cifras de población de los años 1981 hasta 2016 tienen el carácter de cifras oficiales de población publicadas por el Instituto Nacional de Estadística. Las cifras a fecha 1-07-2017 provienen de la cuantificación del número de personas empadronadas a la referida fecha pero carecen del carácter de cifra oficial de población.;;;;;;;;;;;;;;;;;;;;;;;;
