;"Ayuntamiento
de Valladolid";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Distribuci¢n en hect reas de la superficie agr¡cola seg£n tipo de cultivo (hect reas). Municipio de Valladolid. 2001-2013.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Cultivos herb ceos;Barbechos;Cultivos le¤osos;Prados naturales;Pastizales;Monte maderable;Monte abierto;Monte le¤oso;Erial o pastos;Terreno improductivo;;TOTAL;;
2001;Secano;;5.052;1.410;20;330;105;2.545;100;68;635;1.839;;12.104;;
;Regad¡o;;1.907;273;0;0;0;0;0;0;0;0;;2.180;;
;TOTAL;;6.959;1.683;20;330;105;2.545;100;68;635;1.839;;14.284;;
;;;;;;;;;;;;;;;;
2009;Secano;;4.932;1.027;31;75;516;2.545;100;75;450;1.527;;11.278;;
;Regad¡o;;1.997;340;4;1;0;0;0;0;0;0;;2.342;;
;TOTAL;;6.929;1.367;35;76;516;2.545;100;75;450;1.527;;13.620;;
;;;;;;;;;;;;;;;;
2010;Secano;;5.060;520;23;75;1.049;2.551;100;75;450;1.527;;11.430;;
;Regad¡o;;1.959;226;4;1;0;0;0;0;0;0;;2.190;;
;TOTAL;;7.019;746;27;76;1.049;2.551;100;75;450;1.527;;13.620;;
;;;;;;;;;;;;;;;;
2011;Secano;;5.254;446;23;75;970;2.551;100;75;450;1.527;;11.471;;
;Regad¡o;;1.939;205;4;1;0;0;0;0;0;0;;2.149;;
;TOTAL;;7.193;651;27;76;970;2.551;100;75;450;1.527;;13.620;;
;;;;;;;;;;;;;;;;
2012;Secano;;5.445;365;25;40;933;2.551;135;75;450;1.527;;11.546;;
;Regad¡o;;1.902;168;4;;0;0;0;0;0;0;;2.074;;
;TOTAL;;7.347;533;29;40;933;2.551;135;75;450;1.527;;13.620;;
;;;;;;;;;;;;;;;;
2013;Secano;;5.424;378;25;20;826;2.551;135;45;450;1.527;;11.381;;
;Regad¡o;;1.914;262;13;20;;;;;;;;2.209;;
;TOTAL;;7.338;640;38;40;826;2.551;135;45;450;1.527;;13.590;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Fuente: Junta de Castilla y Le¢n. Consejer¡a de Agricultura.;;;;;;;;;;;;;;;;
