N£mero;Denominaci¢n;Zona de la ciudad;Localizaci¢n;Coordenada X;Coordenada Y;N§ de puestos de bicicletas
1;Fuente Dorada;Centro;Plaza Fuente Dorada, s/n;356351,85;4612809,70;12
2;Estaci¢n Campo Grande;Centro;Calle Recondo, s/n;356306,45;4611808,24;12
3;Plaza de la India;Centro;Calle Puente Colgante, 13;355773,80;4611557,10;12
4;Plaza Milenio;Huerta Rey;Avenida Jos‚ Luis Arrese, s/n;355541,15;4612441,89;12
5;Plaza Ribera de Castilla;Rondilla;Plaza Ribera de Castilla, s/n;356951,30;4614190,22;12
6;Centro C¡vico Pilarica;Pilarica;Plaza Encuentro de los Pueblos, s/n;357831,01;4612733,02;12
7;P§ Zorrilla (Junto Plaza Juan de Austria);Zona Sur;Paseo Zorrila, 130;355238,97;4611162,91;12
8;Fuente el sol;La Victoria;Calle Fuente el Sol, 62;355708,67;4614261,88;12
9;Feria muestras;Huerta Rey;Avenida Ram¢n Pradera, s/n;355426,66;4613180,22;12
10;Centro Especialidades;Arturo Eyries;Calle Puerto Rico, 1;354523,27;4610867,05;12
11;CDO Covaresa;Covaresa;Carretera Rueda, 131;354378,58;4608434,84;12
12;Plaza Circular;Centro;Plaza Circular, s/n;357066,44;4612217,57;12
13;Escuela Idiomas;Delicias;Avenida de Segovia, 48;356716,44;4610959,89;12
14;Centro C¡vico Esgueva;Esgueva;Calle Madre de Dios, 20;357323,66;4613548,12;12
15;Espacio Joven;La Rubia;Paseo Zorrila, 101;355133,59;4610496,95;12
16;Plaza Marcos Fern ndez;Parquesol;Plaza Marcos Fernandez, 2;353470,07;4611049,98;12
17;Vallsur;Parque Alameda;Paseo Zorrila, 138;354417,62;4609598,79;12
18;Avda. Segovia;Delicias;Avenida Segovia, s/n;356804,55;4611638,02;12
19;Centro C¡vico Zona Este;Pajarillos;Plaza Bi¢logo Jos‚ A. Valverde, 5;357577,41;4611972,71;12
20;Plaza Madrid;Centro;Plaza Madrid, 5;356419,79;4612324,32;12
21;Campus MD: Rampa Parque Cient¡fico;Bel‚n;Paseo de Bel‚n, s/n;358173,83;4614016,72;12
22;Plaza Trinidad;Centro;Plaza de la Trinidad, 2;356060,18;4613349,24;12
23;Hospital R¡o Hortega;Delicias;Calle Dulzaina, s/n;357441,90;4610403,98;12
24;Santa Cruz;Centro;Plaza Colegio de Santa Cruz, s/n;356870,39;4612663,45;12
25;Plaza Poniente;Centro;Plaza Poniente, s/n ;355991,09;4612955,49;12
26;Filipinos;Centro;Paseo de Filipinos, s/n ;355773,80;4611992,48;12
27;Cadenas San Gregorio;Rondilla;Calle Cadenas de San Gregorio, s/n;356735,07;4613435,25;12
28;Plaza Juan Pablo II;Villa del Prado;Plaza Juan Pablo II, s/n;354592,51;4612151,37;12
29;Plaza Zorrilla;Centro;Calle Acera de Recoletos, s/n;356123,97;4612294,50;12
30;P§ Arco Ladrillo;Delicias Argales;Paseo Arco Ladrillo, 67;356246,82;4610226,99;12
31;Miaja de la Muela;Parquesol;Calle Profesor Adolfo Miaja de la Muela s/n;353945,51;4610959,69;12
;;;;;;
