DIRECCION;n§;CP;"I: INTERIOR 
E: EXTERIOR";N§ ESTACIONES;PUNTOS ;"TIPO DE ENCHUFE:
SCHUCO";"TIPO DE ENCHUFE:
MENNEKES";MOTOS;COORDENADA X;COORDENADA Y
C/ Vega Sicilia ;2;47008;Ext.;2;2;1;1;;354.479;4.609.129
Avda. de Burgos ;11;47009;Int.;2;3;3;;3;355.970;4.614.110
Avda. Ramon Pradera;1;47009;Ext.;1;1;1;;;355.382;4.613.149
C/ Francisco Scrimieri ;3;47014;Ext.;2;2;1;1;;355.516;4.612.456
C/ Francisco Scrimieri ;3;47014;Ext.;1;1;;1;;355.595;4.612.495
Pl. del Milenio;1;47014;Int.;4;4;2;2;;355.595;4.612.495
Pl. de Col¢n;1;47014;Int.;1;2;1;1;;356.244;4.611.882
Avda. Zamora;328;47008;Ext.;1;2;1;1;;354.415;4.609.587
Avda. Zamora;328;47008;Int.;1;2;1;1;;354.265;4.609.643
C/ Plata ;40;47012;Ext.;1;1;1;;;358.056;4.609.004
C/ Claudio Moyano ;;47001;Ext.;2;4;4;;3;356.057;4.612.478
C/ San Agust¡n;1;47003;Ext.;1;1;1;;;355.969;4.613.224
C/ Doctor S nchez Villares;1;47014;Int.;1;1;1;;;354.689;4.611.193
C/ India ;4;47007;Ext.;1;1;1;;;355.823;4.611.536
C/ Felipe Sanchez Rom n;frente n§ 6;47008;Ext.;1;1;1;;;354.383;4.608.409
Ca¤ada real ;306;47008;Int.;1;1;;1;;353.149;4.607.389
C/ LOS MOLINOS;1;47001;Ext.;2;4;2;2;;356.009;4.612.677
