DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;TELêFONO;COORDENADA X;COORDENADA Y;SIUACI‡N INMUEBLE;TIPO DE USO;ENTIDAD RESPONSABLE;;
Academia de la Polic°a Municipal;Calle;Victoria ;4;47009;983426150;355873,85;4614146,72;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Agencia de Innovaci¢n y Desarrollo Econ¢mico;Calle;Vega Sicilia;2;47008;983247401;354517,67;4609141,83;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Aguas de Valladolid;Calle;General Ruiz;1;47004;900353081;356485,99;4612187,02;Cedido por el Ayuntamiento;Actividades Administrativas;Ayuntamiento de Valladolid;;
Albergue Municipal;Paseo;del Hospital Militar;22;47007;983301401;355822,82;4611789,18;Cedido al Ayuntamiento;Actividades Sociales;Ayuntamiento de Valladolid;;
Antiguo C.P. Calder¢n de la Barca;Calle;Olmedo;9;47013;983426100;356818,46;4611339,28;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Antiguo C.P. Fray Luis de Granada;Calle;Calveras ;s/n;47009;983426100;357805,83;4617206,90;Propiedad;Sin actividad;Ayuntamiento de Valladolid;;
Antiguo C.P. JosÇ Zorrilla;Avenida;Palencia;45;47010;983426100;357224,00;4613890,65;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Antiguo C.P. Luis Vives;Calle;Hornija;5;47013;983426100;356658,93;4610692,70;Propiedad;Sin actividad;Ayuntamiento de Valladolid;;
Antiguo C.P. Pio del R°o Hortega;Calle;Villab†§ez;151;47017;983291078;358633,41;4612162,81;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Antiguo C.P. Rosa Chacel-Claudio S†nchez Albornoz;Calle;Lucayas ;2;47014;983279252;354437,56;4610332,69;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Antiguo C.P. Santiago L¢pez;Calle;Pavo Real;18;47012;983426100;357685,09;4612476,51;Propiedad;Sin actividad;Ayuntamiento de Valladolid;;
Bar de las Moreras;Paseo;Isabel la Catolica;s/n;47003;;355815,89;4613363,17;Propiedad;Otras actividades;Ayuntamiento de Valladolid;;
Biblioteca Adolfo Miaja de la Muela;Plaza;Bi¢logo JosÇ Antonio Valverde;1;47012;983134772;357635,03;4611956,91;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Blas Pajarero;Paseo;Juan Carlos I;20;47013;983130555;356976,03;4610954,14;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Campo Grande;Calle;Acera de Recoletos;s/n;47004;983300632;356096,13;4612169,12;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Francisco Javier Mart°n Abril;Calle;L¢pez G¢mez;1;47002;983211231;356533,51;4612523,15;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Francisco Pino;Calle;Francisco Hern†ndez Pacheco;s/n;47014;983143004;355129,69;4612532,36;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Parque Alameda;Calle ;Armu§a;3;47008;983131166;354378,67;4609291,17;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Rondilla;Calle;Alberto Fern†ndez;3;47010;983426408;356452,07;4614065,27;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Rosa Chacel;Plaza;Juan de Austria;11;47006;983426343;355203,76;4611242,86;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Biblioteca Santiago de los Mozos;Calle;Eusebio Gonz†lez Su†rez;69;47014;983132018;353417,88;4610860,27;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
C.P. Alonso Berruguete;Cmno. ;Viejo de Simancas;19;47008;983457348;354569,38;4609942,62;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Antonio All£e Morer;Calle;Sargento De la Transici¢n;10;47013;983231030;356382,13;4610493,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Antonio Garc°a Quintana;Plaza;Espa§a;7;47001;983300273;356490,32;4612481,75;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Antonio Machado;Calle;Pilarica;59;47010;983202461;358131,46;4612870,57;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Cardenal Mendoza;Calle;Panaderos;28;47004;983309243;356623,83;4612204,31;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Crist¢bal Col¢n;Calle;Cigue§a;26;47012;983291887;357777,13;4612274,96;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Educaci¢n Infantil Ignacio Mart°n Bar¢;Calle;Juan de Valladolid;10;47014;626957415;353908,08;4611436,78;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. El Peral;Calle;JosÇ Velicia ;88;47008;983244080;353899,63;4608803,76;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Federico Garc°a Lorca;Calle;Huertas;7;47005;983392701;357561,33;4613166,22;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Francisco de Quevedo y Villegas;Calle;Granados;1;47006;983233324;355157,66;4610969,44;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Francisco Giner de los R°os;Calle;Rastrojo;6;47014;983342698;354898,81;4612775,65;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Francisco Pino;Calle;Hernando de Acu§a;81;47014;983374610;353104,71;4611368,73;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Fray Luis de Le¢n;Calle;Canterac;48;47012;983271151;357090,75;4611461,05;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Gonzalo de Berceo;Calle;Mirabel;23;47010;983253356;356622,21;4614105,08;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Gonzalo de C¢rdoba;Calle;Victoria ;2;47009;983334862;355854,20;4614018,00;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Ignacio Mart°n Bar¢;Calle;Juan de Valladolid;10;47014;983354121;353908,08;4611436,78;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Isabel La Cat¢lica ;Plaza;San Nicol†s;19;47003;983350218;356036,75;4613551,80;propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Jorge GuillÇn ;Calle;Argentina;2;47014;983688083;354288,93;4610332,63;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. JosÇ M¶ Gabriel y Gal†n ;Paseo;Cauce;71;47005;983299322;357607,29;4612862,82;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Entre R°os;Calle;Soto;64;47010;983252780;356762,19;4614129,68;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. JosÇ Zorrilla;Calle;Pinzones;4A;47010;983255934;357165,69;4614039,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
