TIPO DE EMPLAZAMIENTO;DENOMINACIàN;DIRECCIàN;COORDENADA X;COORDENADA Y
Espacio municipal;Centro de Iniciativas Ciudadanas Constanza Mart¡n;Calle Arturo Moliner, 17;358098,01;4614363,87
Espacio municipal;Biblioteca Francisco Javier Mart¡n Abril;Calle L¢pez G¢mez, 1;356533,51;4612523,15
Espacio municipal;Punto Pr‚stamo Bibliotecario Barrio Bel‚n;Plaza de las Nieves, 14;357939,67;4613423,11
Espacio municipal;Oficinas Municipales de San Benito;Calle San Benito, 1;356090,92;4612996,33
Espacio municipal;Centro C¡vico Integrado Zona Este;Calle Bi¢logo Jos‚ Antonio Valverde, 1;357635,03;4611956,91
Espacio municipal;Centro C¡vico Bailar¡n Vicente Escudero;Traves¡a de la Verbena 1;357257,67;4612666,87
Espacio municipal;Centro C¡vico Delicisa;Paseo Juan Carlos I, 20;356976,03;4610954,14
Espacio municipal;Centro C¡vico Pilarica;Calle Puente La Reina, 1;357818,81;4612792,33
Espacio municipal;Centro C¡vico Esgueva;Calle Madre de Dios,  20;357343,61;4613562,08
Espacio municipal;Centro Mayores J L Mosquera;Calle P¡o del R¡o Hortega, 13;355059,2;4612523,36
Espacio municipal;Centro C¡vico Parquesol;Calle Eusebio Gonz lez Su rez, 69;353417,88;4610860,27
Espacio municipal;Centro C¡vico La Rondilla;Calle Alberto Fern ndez, 3;355902,72;4614088,16
Espacio municipal;Centro C¡vico La Victoria;Calle San Sebasti n, 7;356452,07;4614065,27
Espacio municipal;Centro C¡vico Campillo;Calle Hostieros, 1;356606,12;4612313,87
Espacio municipal;Centro C¡vico Zona Sur;Plaza Juan de Austria, 11;355203,76;4611242,86
Espacio municipal;Centro C¡vico Jos‚ Mar¡a Luelmo;Calle Armu¤a, 3;354378,67;4609291,17
Espacio municipal;Centro C¡vico Las Flores;Calle Margarita, 16;359027,21;4611697,07
Espacio municipal;Centro Personas Mayores Rondilla;Calle Cardenal Torquemada, 52;356840,18;4614090,73
Espacio municipal;Centro Personas Mayores San Juan;Calle Santa Luc¡a, 32-34;357175,02;4612584,32
Espacio municipal;Centro Personas Mayores Rio Esgueva;Plaza Encuentro Pueblos, 2;357867,5;4612700,2
Espacio municipal;Centro Personas Mayores Puente Colgante;Calle Puente Colgante, 42 ;355310,96;4611563,43
Espacio municipal;Centro Personas Mayores Las Delicias;Paseo Juan Carlos I, 28;357216,91;4611402,84
Espacio municipal;Centro Municipal Puente Duero;Calle Real, 105;350755,01;4601965,96
Espacio municipal;Centro Municipal La Overuela;Calle La  41, 12;357958,83;4617129,91
Espacio municipal;Archivo Municipal;Calle Santo Domingo de Guzman, 8;356000,98;4613165,67
Espacio municipal;Oficinas Municipales de Santa Ana;Plaza Santa Ana, 6;355974,66;4612709,63
Espacio municipal;Espacio Joven;Paseo Zorrilla, 101;355158,99;4610426,94
Espacio municipal;Casa Consistorial;Plaza Mayor, 1;356169,66;4612831,34
Espacio municipal;Agencia Innovaci¢n;Calle Vega Sicilia, 2;354517,67;4609141,83
Espacio municipal;Plaza Milenio;Plaza del Milenio, s/n;355598,15;4612468,23
Espacio p£blico;Plaza San Pablo;;356463,9;4613324,22
Espacio p£blico;Patio Herreriano;;356019,25;4613086,5
Espacio p£blico;Entorno Catedral (Plaza Portugalete-Universidad);;356622,71;4612877,08
Espacio p£blico;Plaza del Milenio;;355626,28;4612503,76
Espacio p£blico;Plaza Mayor;;356172,91;4612795,59
Espacio p£blico;Plaza Espa¤a;;356428,5;4612441,71
Espacio p£blico;Plaza Zorrilla-Acera Recoletos-Plaza Col¢n;;356172,92;4612154,86
Espacio p£blico;Plaza de la Solidaridad;;355499,73;4613998,59
Espacio p£blico;Plaza de las Ciudades Hermanas;;354972,04;4609354,82
