"Ayuntamiento
de Valladolid";;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Evolución del número de oficinas de instituaciones financieras. Municipio de Valladolid. ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Año;;Banca privada;Cajas de ahorros ;Cajas rurales y cooperativas de crédito;Entidades financieras de crédito;;Total;;;
1993;;155;93;6;;;254;;;
1994;;149;100;8;;;257;;;
1995;;155;99;8;;;262;;;
1996;;168;102;9;8;;287;;;
1997;;171;106;10;9;;296;;;
1998;;174;113;15;7;;309;;;
1999;;159;116;18;7;;300;;;
2000;;156;123;20;6;;305;;;
2001;;148;128;24;6;;306;;;
2002;;133;132;31;6;;302;;;
2003;;135;138;36;6;;315;;;
2004;;136;144;37;7;;324;;;
2005;;138;151;37;7;;333;;;
2006;;143;159;37;7;;346;;;
2007;;143;165;39;7;;354;;;
2008;;143;175;40;7;;365;;;
2009;;137;171;41;7;;356;;;
2010;;132;151;40;5;;328;;;
;;;;;;;;;;
;;;;;;;;;;
Año;;Entidades de depósito;;;Entidades financieras de crédito;;Total;;;
2011;;309;;;5;;314;;;
2012;;295;;;4;;299;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;
Fuente: Banco de España a través de Junta de Castilla y León, Sistema de Información Estadística (SIE).;;;;;;
