;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Variaciones Residenciales interiores con origen o destino en ell Municipio de Valladolid. 1998-2014.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 1: Inmigrantes procedentes de otro lugar de España llegados a la ciudad de Valladolid según sexo, origen y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 2: Emigrantes salidos de la ciudad de Valladolid con destino a otro lugar de España según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Tabla 3: Saldo migratorio de la ciudad de Valladolid con el resto de España según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
Inmigrantes procedentes de otro lugar de España llegados a la ciudad de Valladolid según sexo, origen y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;De la misma provincia;;;;De otras provincias;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
1998;;3.716;1.795;1.921;;1.069;518;551;;2.647;1.277;1.370
1999;;4.041;1.985;2.056;;1.179;544;635;;2.862;1.441;1.421
2000;;4.697;2.261;2.436;;1.428;691;737;;3.269;1.570;1.699
2001;;4.633;2.237;2.396;;1.534;736;798;;3.099;1.501;1.598
2002;;6.374;3.087;3.287;;2.246;1.089;1.157;;4.128;1.998;2.130
2003;;5.856;2.779;3.077;;2.066;972;1.094;;3.790;1.807;1.983
2004;;6.542;3.173;3.369;;2.317;1.097;1.220;;4.225;2.076;2.149
2005;;7.011;3.417;3.594;;2.628;1.266;1.362;;4.383;2.151;2.232
2006;;7.641;3.769;3.872;;2.852;1.390;1.462;;4.789;2.379;2.410
2007;;7.835;3.830;4.005;;2.868;1.348;1.520;;4.967;2.482;2.485
2008;;7.006;3.369;3.637;;2.640;1.198;1.442;;4.366;2.171;2.195
2009;;6.952;3.333;3.619;;2.624;1.230;1.394;;4.328;2.103;2.225
2010;;6.909;3.327;3.582;;2.787;1.319;1.468;;4.122;2.008;2.114
2011;;7.637;3.723;3.914;;3.208;1.535;1.673;;4.429;2.188;2.241
2012;;6.395;3.133;3.262;;2.686;1.309;1.377;;3.709;1.824;1.885
2013;;6.195;2.958;3.237;;2.734;1.277;1.457;;3.461;1.681;1.780
2014;;6.801;3.308;3.493;;2.921;1.432;1.489;;3.880;1.876;2.004
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Emigrantes salidos de la ciudad de Valladolid según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;A la misma provincia;;;;A otras provincias;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
1998;;6.696;3.384;3.312;;3.121;1.598;1.523;;3.575;1.786;1.789
1999;;7.515;3.794;3.721;;3.747;1.902;1.845;;3.768;1.892;1.876
