id;ficha;raza;fechaIngreso;sexo;fechaNac;edad;tamagno;peso;observaciones;foto;nombre;especie;color;perdido;disponible
"https://www.zaragoza.es/sede/servicio/mascotas/4893";"04594";"mestizo";2014-10-31T23:00:00Z;"Macho";2013-06-26T22:00:00Z;"";"Mediano (11-25 kg)";"";"Muy nervioso y ladrador ideal para terreno
Esterilizado";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04594 Jonny.jpg";"Jonny";"Canina";"tricolor";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4709";"04423";"American Staffordshire Terrier";2014-09-06T22:00:00Z;"Macho";2010-09-06T22:00:00Z;"Mayor (5 años)";"Grande (26-44 kg)";"";"es necesaria licencia y seguro. 

ES muy  bueno y jugueton con la gente, muy activo.
Pero no se lleva bien con otros perros y perras. 
Ideal para una casa sin perros
Está esterilizado
SE MERECE UN HOGAR!!";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04423 Terry.jpg";"Terry (G)";"Canina";"Blanco y Atigrado";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5487";"05178";"mestizo";2015-06-10T22:00:00Z;"Macho";2014-12-31T23:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05178 Puzle.jpg";"Puzle";"Canina";"marron";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5223";"04924";"mestizo";2015-03-15T23:00:00Z;"Macho";2013-05-17T22:00:00Z;"";"Grande (26-44 kg)";"";"animal joven, sabe sentarse y dar la pata. Buen caracter";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04824 Marti.jpg";"Marti ";"Canina";"negro pecho blanco";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/3418";"03159";"PIT BULL";2013-10-11T22:00:00Z;"Hembra";2013-02-01T23:00:00Z;"Joven (8 meses)";"Mediano (11-25 kg)";"";"Entro de cachorro y lleva toda su vida en nuestro centro.  
Es muy bueno con las personas, pero no se lleva muy bien con sus congéneres, por lo que solo es apto para una casa que no tenga otros perros.

ES PRECIOSO, SE MERECE UN HOGAR!

Para su adopcion es necesario poseer la licencia para tenencia de perros potencialmente peligrosos.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/03159.JPG";"PITY ";"Canina";"Atigrado Marrón y Blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5386";"05084";"Mestizo";2015-05-13T22:00:00Z;"Macho";2013-05-13T22:00:00Z;"";"Mediano (11-25 kg)";"";"Si desea conocer a Gandaf Llamenos antes de venir al 976154352.";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05084 Trufo.jpg";"Trufo (G2)";"Canina";"FUEGO";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5339";"04991";"xPastor Aleman";2015-04-06T22:00:00Z;"Macho";2014-03-01T23:00:00Z;"";"Mediano (11-25 kg)";"";"Brus no se encuentra en el CMPA. Si quieres adoptarlo contacta con nosotros en 976154352";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04991 bruce.jpg";"Bruce (G)";"Canina";"NEGRO Y FUEGO";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/2057";"01788";"Mestizo";2012-10-13T22:00:00Z;"Macho";2011-10-13T22:00:00Z;"Adulto (3 años)";"Grande (26-44 kg)";"";"Me llamo Diablo, llegué al centro con un año...
Tengo leishmania, aunque gracias al tratamiento que me dan no lo parece. 
Soy un perro grande y alegre, me encantaria vivir en un jardín.



";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/Diablo.jpg";"DIABLO (G)";"Canina";"Negro, pecho y patas blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4478";"04189";"xstaffodshire terrier";2014-07-02T22:00:00Z;"Macho";2012-07-07T22:00:00Z;"";"Grande (26-44 kg)";"";"Asidon tiene leishmania en tratamiento pero está controlada la enfermedad
 
Es muy cariñoso y tranquilo

SE MERECE UN BUEN HOGAR, EL SABE BIEN LO QUE ES EL MALTRATO Y POSTERIORMENTE EL ABANDONO.
En el Centro ha encontrado cariño y un hogar, pero se merece una casita, donde nunca nadie más lo maltrate.
";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04189 Asidon.jpg";"ASIDON(G)";"Canina";"ATIGRADO";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/4821";"04521";"xamerican sttafordshire";2014-10-07T22:00:00Z;"Hembra";2011-12-31T23:00:00Z;"";"Mediano (11-25 kg)";"";"Por su raza es necesaria licencia y seguro de perro peligroso para poder adoptarla.

Asun llegó casi famélica al Centro.  
Maltratada a tope.  
Ha perdido los miedos y esta super bien.
Es una buena perra.

Esterilizada

";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/04521 Asun.jpg";"Asun (G)";"Canina";"blanca con ojos marrones";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5843";"05537";"mestizo american sttafordshire terrier";2015-09-16T22:00:00Z;"Hembra";2015-04-02T22:00:00Z;"";"Mediano (11-25 kg)";"12";"necesaria licencia y seguro de perro potencialmente peligro para la adopción de Tasca

Abandonada con menos de 6 meses, ya lleva con nosotros en el Centro 3 meses.  SE MERECE UN HOGAR
				
Es buena con la gente AUNQUE dominante con otros perros

";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05537 Tasca.jpg";"Tasca (G)";"Canina";"atigrado";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/6127";"05809";"american staffordshire terrier";2016-01-16T23:00:00Z;"Macho";2013-07-16T22:00:00Z;"";"Mediano (11-25 kg)";"19";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/5809 Axel.jpg";"Axel";"Canina";"blanco y canela";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/6125";"05482";"Cruce american stafordshire terrier";2016-01-13T23:00:00Z;"Hembra";2015-07-31T22:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05482.jpg";"Lola (G)";"Canina";"chocolate pecho blanco";"false";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/6160";"05839";"x siberian Husky";2016-01-27T23:00:00Z;"Macho";2014-08-31T22:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05839.jpg";"Vais ";"Canina";"negro, blanco y marron";"true";"1"
"https://www.zaragoza.es/sede/servicio/mascotas/5488";"05179";"Mestizo";2015-06-10T22:00:00Z;"Macho";2014-12-31T23:00:00Z;"";"Mediano (11-25 kg)";"";"";"//www.zaragoza.es/cont/paginas/IMSP/mascotas/05179 Bubble.jpg";"Bubble";"Canina";"crema";"false";"1"
