id;title;uri;identificador;keywords_inspire
"https://www.zaragoza.es/sede/recurso/dataset/materia//19";"Turismo";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/19";"turismo";"society"
"https://www.zaragoza.es/sede/recurso/dataset/materia//20";"Industria";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/20";"industria";"structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//24";"Demografía";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/24";"demografia";"society"
"https://www.zaragoza.es/sede/recurso/dataset/materia//25";"Economía";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/25";"economia";"economy"
"https://www.zaragoza.es/sede/recurso/dataset/materia//5";"Educación";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/5";"educacion";"structure,society"
"https://www.zaragoza.es/sede/recurso/dataset/materia//6";"Deporte";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/6";"deporte";"health, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//7";"Seguridad";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/7";"seguridad";"health, society, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//8";"Sociedad y Bienestar";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/8";"sociedad-bienestar";"health, society"
"https://www.zaragoza.es/sede/recurso/dataset/materia//9";"Transporte";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/9";"transporte";"utilitiesCommunication"
"https://www.zaragoza.es/sede/recurso/dataset/materia//12";"Urbanismo e Infraestructuras";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/12";"urbanismo-infraestructuras";"boundaries, planningCadastre, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//13";"Empleo";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/13";"empleo";"economy, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//14";"Vivienda";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/14";"vivienda";"planningCadastre, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//15";"Comercio";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/15";"comercio";"economy, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//17";"Legislación y Justicia";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/17";"legislacion-justicia";"society"
"https://www.zaragoza.es/sede/recurso/dataset/materia//18";"Energía";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/18";"energia";"environment, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//28";"Salud";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/28";"salud";"health"
"https://www.zaragoza.es/sede/recurso/dataset/materia//27";"Cultura y Ocio";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/27";"cultura-ocio";"structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//29";"Medio Rural";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/29";"medio-rural";"biota, climatologyMeteorologyAtmosphere, environment, inlandWaters"
"https://www.zaragoza.es/sede/recurso/dataset/materia//33";"Noticias Municipales";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/33";"noticias-municipales";"society"
"https://www.zaragoza.es/sede/recurso/dataset/materia//34";"Ciencia y Tecnología";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/34";"ciencia-tecnologia";"utilitiesCommunication, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//35";"Sector Público";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/35";"sector-publico";"boundaries, structure"
"https://www.zaragoza.es/sede/recurso/dataset/materia//1";"Medio Ambiente";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/1";"medio-ambiente";"biota, climatologyMeteorologyAtmosphere, environment, inlandWaters"
"https://www.zaragoza.es/sede/recurso/dataset/materia//36";"Hacienda";"http://www.zaragoza.es/datosabiertos/id/kos/infraestructuras/materiaCatalogo/36";"hacienda";"economy"
