city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
BAR,not-found,,http://opendata-ajuntament.barcelona.cat/data/es/dataset?page=22,,,2017/10/17_16:19:59,,,not-found,,,,"not-found, not-found",
BAR,Lista vigente de las licitaciones de contratos del Ayuntamiento de Barcelona y lista de las licitaciones publicadas hasta la fecha 1/6/2016.,Perfil del Contractant,http://opendata-ajuntament.barcelona.cat/data/es/dataset/perfil-contractant,Perfil del contratante del Ajuntament de Barcelona,Perfil,2017/10/17_16:20:01,Diaria,"CSV,CSV",Creative Commons Attribution 4.0,,,04/10/2013,"Administración, Contratación",
BAR,Antigüedad de las motos,Cens de Vehicles,http://opendata-ajuntament.barcelona.cat/data/es/dataset/antiguitat-mot,Antigüedad de las motos,"Antiguitat,Año 2007,Año 2008,Año 2009,Año 2010,Año 2011,Año 2012,Año 2013,Año 2014,Año 2015,Año 2016,Barrio,Barrios de Barcelona,Baró de Viver,Can Baró,Can Peguera,Canyelles,Ciutat Meridiana,Diagonal Mar i el F...,la Font de la Guatlla,Fort Pienc,Horta,Hostafrancs,Montbau,Navas,Pedralbes,Porta,Provençals del Pobl...,Roquetes,la Sagrada Família,Sant Andreu,Sant Antoni,Sant Genís dels Agu...,Sant Gervasi-Galvany,Sant Gervasi-la Bon...,Sant Martí de Prove...,Sant Pere- Santa Ca...,Sants,Sants-Badal,Sarrià,Torre Baró,la Trinitat Nova,la Trinitat Vella,Vallbona,Vallcarca i els Pen...,Vallvidrera- el Tib...,Verdum,Vilapicina i la Tor...,el Baix Guinardó,el Gòtic,el Besòs i el Maresme,Bon Pastor,el Camp d'en Grasso...,el Camp de l'Arpa d...,el Carmel,el Clot,el Coll,el Congrés i els In...,el Guinardó,el Parc i la Llacun...,Poble-sec,Poblenou,el Putxet i el Farró,el Raval,el Turó de la Peira,l'Antiga Esquerra d...,la Barceloneta,la Bordeta,la Clota,la Dreta de l'Eixample,la Font d'en Fargues,la Guineueta,la Marina de Port,la Marina del Prat ...,la Maternitat i San...,la Nova Esquerra de...,la Prosperitat,la Sagrera,la Salut,la Teixonera,la Vall d'Hebron,la Verneda i la Pau,la Vila Olímpica de...,la Vila de Gràcia,les Corts,les Tres Torres",2017/10/17_16:20:07,Anual,"CSV,XLSX,CSV,XLS,CSV,XLS,CSV,XLS,CSV,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS",Creative Commons Attribution 4.0,,,14/03/2013,"Ciudad y servicios, Transporte",
BAR,Antigüedad de los turismos de la ciudad de Barcelona,Cens de Vehicles,http://opendata-ajuntament.barcelona.cat/data/es/dataset/antiguitat-veh,Antigüedad de los turismos de la ciudad de Barcelona,"Antiguitat,Año 2007,Año 2008,Año 2009,Año 2010,Año 2011,Año 2012,Año 2013,Año 2014,Año 2015,Año 2016,Barrio,Barrios de Barcelona,Baró de Viver,Can Baró,Can Peguera,Canyelles,Ciutat Meridiana,Diagonal Mar i el F...,la Font de la Guatlla,Fort Pienc,Horta,Hostafrancs,Montbau,Navas,Pedralbes,Porta,Provençals del Pobl...,Roquetes,la Sagrada Família,Sant Andreu,Sant Antoni,Sant Genís dels Agu...,Sant Gervasi-Galvany,Sant Gervasi-la Bon...,Sant Martí de Prove...,Sant Pere- Santa Ca...,Sants,Sants-Badal,Sarrià,Torre Baró,la Trinitat Nova,la Trinitat Vella,Vallbona,Vallcarca i els Pen...,Vallvidrera- el Tib...,Verdum,Vilapicina i la Tor...,el Baix Guinardó,el Gòtic,el Besòs i el Maresme,Bon Pastor,el Camp d'en Grasso...,el Camp de l'Arpa d...,el Carmel,el Clot,el Coll,el Congrés i els In...,el Guinardó,el Parc i la Llacun...,Poble-sec,Poblenou,el Putxet i el Farró,el Raval,el Turó de la Peira,l'Antiga Esquerra d...,la Barceloneta,la Bordeta,la Clota,la Dreta de l'Eixample,la Font d'en Fargues,la Guineueta,la Marina de Port,la Marina del Prat ...,la Maternitat i San...,la Nova Esquerra de...,la Prosperitat,la Sagrera,la Salut,la Teixonera,la Vall d'Hebron,la Verneda i la Pau,la Vila Olímpica de...,la Vila de Gràcia,les Corts,les Tres Torres",2017/10/17_16:20:09,Anual,"CSV,XLSX,CSV,XLS,CSV,XLS,CSV,XLS,CSV,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS",Creative Commons Attribution 4.0,,,14/03/2013,"Ciudad y servicios, Transporte",
BAR,Antigüedad de los vehículos por tipología. Serie histórica iniciada en 2016.,Cens de Vehicles,http://opendata-ajuntament.barcelona.cat/data/es/dataset/anv2016,Antigüedad de los vehículos por tipología,"Antiguitat,Año 2016,Tipologia,Tipos,Vehículos",2017/10/17_16:20:11,Anual,CSV,Creative Commons Attribution 4.0,,,18/07/2017,"Ciudad y servicios, Transporte",
BAR,Número acumulado en cada distrito de los animales de compañía inscritos en el Registro censal.,Registre general d'animals de companyia,http://opendata-ajuntament.barcelona.cat/data/es/dataset/cens-animals-companyia,Número de animales de compañía censados en Barcelona,"Animales,Animales compañía,Año 2016,Año 2017",2017/10/17_16:20:11,Semestral,"XLSX,CSV,XLSX,CSV",Creative Commons Attribution 4.0,,,14/11/2016,"Ciudad y servicios, Medio ambiente",
BAR,"Equipamientos de la tipología Animales y plantas que hay en la ciudad de Barcelona: centros de jardinería, veterinarios, floristerías, peluquerías caninas, residencias de animales y otros.",Ajuntament de Barcelona,http://opendata-ajuntament.barcelona.cat/data/es/dataset/equipament-animals-i-plantes,Listado de equipamientos de animales i de plantas de la ciudad de Barcelona,"Animales,Equipamientos de an...,Vegetación",2017/10/17_16:20:12,Mensual,RDF,Creative Commons Attribution 4.0,,,25/03/2011,"Ciudad y servicios, Medio ambiente",
BAR,Altas por omisión por edades quinquenales. Por barrios,Moviments demogràfics . Departament d'Estadística. Ajuntament de Barcelona,http://opendata-ajuntament.barcelona.cat/data/es/dataset/omissions-edq,Altas por omisión por edades quinquenales. Por barrios,"Altes omissió,Año 2015,Año 2016,Barrios de Barcelona",2017/10/17_16:20:14,Anual,"CSV,CSV",Creative Commons Attribution 4.0,,,28/04/2017,"Población, Demografía",
BAR,Altas por omisión según sexo,Moviments demogràfics . Departament d'Estadística. Ajuntament de Barcelona,http://opendata-ajuntament.barcelona.cat/data/es/dataset/omissions-sexe,Altas por omisión según sexo,"Altes omissió,Año 2007,Año 2008,Año 2009,Año 2010,Año 2011,Año 2012,Año 2013,Año 2014,Año 2015,Año 2016,Barrio,Barrios de Barcelona,Baró de Viver,Can Baró,Can Peguera,Canyelles,Ciutat Meridiana,Diagonal Mar i el F...,la Font de la Guatlla,Fort Pienc,Horta,Hostafrancs,Montbau,Navas,Pedralbes,Porta,Provençals del Pobl...,Roquetes,la Sagrada Família,Sant Andreu,Sant Antoni,Sant Genís dels Agu...,Sant Gervasi-Galvany,Sant Gervasi-la Bon...,Sant Martí de Prove...,Sant Pere- Santa Ca...,Sants,Sants-Badal,Sarrià,Torre Baró,la Trinitat Nova,la Trinitat Vella,Vallbona,Vallcarca i els Pen...,Vallvidrera- el Tib...,Verdum,Vilapicina i la Tor...,el Baix Guinardó,el Gòtic,el Besòs i el Maresme,Bon Pastor,el Camp d'en Grasso...,el Camp de l'Arpa d...,el Carmel,el Clot,el Coll,el Congrés i els In...,el Guinardó,el Parc i la Llacun...,Poble-sec,Poblenou,el Putxet i el Farró,el Raval,el Turó de la Peira,l'Antiga Esquerra d...,la Barceloneta,la Bordeta,la Clota,la Dreta de l'Eixample,la Font d'en Fargues,la Guineueta,la Marina de Port,la Marina del Prat ...,la Maternitat i San...,la Nova Esquerra de...,la Prosperitat,la Sagrera,la Salut,la Teixonera,la Vall d'Hebron,la Verneda i la Pau,la Vila Olímpica de...,la Vila de Gràcia,les Corts,les Tres Torres",2017/10/17_16:20:16,Anual,"CSV,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV,XLS,CSV",Creative Commons Attribution 4.0,,,14/03/2013,"Población, Demografía",
BAR,Altas por omisión por lugar de nacimiento. Por barrios,Moviments demogràfics . Departament d'Estadística. Ajuntament de Barcelona,http://opendata-ajuntament.barcelona.cat/data/es/dataset/omissions-lloc,Altas por omisión por lugar de nacimiento. Por barrios,"Altes omissió,Año 2015,Año 2016,Barrios de Barcelona",2017/10/17_16:20:16,Anual,"CSV,CSV",Creative Commons Attribution 4.0,,,28/04/2017,"Población, Demografía",
