city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
CAC,,not-found,http://opendata.caceres.es/dataset?page=4,not-found,,2017/10/18_10:00:16,not-found,,,not-found,,not-found,,
CAC,Conjunto de datos que contiene la información oficial del Ayuntamiento de Cáceres sobre las farmacias de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/farmacias-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/farmacias-caceres,Farmacias Cáceres,salud,2017/10/18_10:00:17,Trimestral,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 18, 2017, 08:03 (UTC)",,"April 21, 2016, 07:17 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre los alojamientos de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/alojamientos-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/alojamientos-caceres,Alojamientos Cáceres,turismo,2017/10/18_10:00:17,Anual,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 17, 2017, 07:22 (UTC)",,"April 21, 2016, 07:16 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre asientos públicos de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/asientos-publicos-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/asientos-publicos-caceres,Asientos Públicos de Cáceres,urbanismo-infraestr...,2017/10/18_10:00:17,Anual,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 11, 2017, 10:10 (UTC)",,"October 11, 2017, 09:03 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre los museos de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/museos-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/museos-caceres,Museos Cáceres,cultura-ocio,2017/10/18_10:00:18,Semestral,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 11, 2017, 09:02 (UTC)",,"April 21, 2016, 07:18 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre padrón de la ciudad en el año 2015. URI del conjunto de datos: http://opendata.caceres.es/dataset/informacion-padron-caceres-2015 [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/informacion-padron-de-caceres-2015,Información del Padrón de Cáceres 2015,demografia,2017/10/18_10:00:18,not-found,"api/sparql,CSV,XLS,JSON,RDF,api/sparql,CSV,XLS,JSON,RDF",,"October 10, 2017, 09:56 (UTC)",,"October 10, 2017, 08:15 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre padrón de la ciudad. URI del conjunto de datos: http://opendata.caceres.es/dataset/informacion-padron-caceres-2016 [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/informacion-padron-caceres-2016,Información del Padrón de Cáceres 2016,demografia,2017/10/18_10:00:18,not-found,"api/sparql,CSV,XLS,JSON,RDF,api/sparql,CSV,XLS,JSON,RDF",,"October 10, 2017, 09:50 (UTC)",,"July 10, 2017, 08:32 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre las asociaciones de vecinos de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/asociaciones-vecinos-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/asociaciones-vecinos-caceres,Asociaciones Vecinos Cáceres,cultura-ocio,2017/10/18_10:00:19,Anual,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 4, 2017, 09:50 (UTC)",,"April 21, 2016, 07:16 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre aparcamientos para motos de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/aparcamientos-motos-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/aparcamientos-motos-caceres,Aparcamientos para Motos Cáceres,transporte,2017/10/18_10:00:19,Anual,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 3, 2017, 10:38 (UTC)",,"October 3, 2017, 09:52 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre las plazas de movilidad reducida de la ciudad.URI del conjunto de datos: http://opendata.caceres.es/dataset/plazas-de-movilidad-reducida-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/plazas-de-movilidad-reducida-caceres,Plazas de Movilidad Reducida Cáceres,transporte,2017/10/18_10:00:19,Anual,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"October 3, 2017, 10:38 (UTC)",,"April 21, 2016, 07:19 (UTC)",,
CAC,Conjunto de datos que contiene la información catalogada por el ayuntamiento de Cáceres sobre los carriles bicis de la ciudad. URI del conjunto de datos: http://opendata.caceres.es/dataset/carriles-bici-caceres [HTML] [RDF].,SIG de Cáceres,http://opendata.caceres.es/dataset/carriles-bici-caceres,Carriles Bici de Cáceres,urbanismo-infraestr...,2017/10/18_10:00:20,Anual,"api/sparql,CSV,XLS,JSON,GeoJSON,RDF,api/sparql,CSV,XLS,JSON,GeoJSON,RDF",,"September 18, 2017, 11:20 (UTC)",,"September 18, 2017, 10:41 (UTC)",,
