city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
MAL,Localizaciones de los autobuses de EMT.Los datos se actualizan cada 1 minuto.,Responsable de la Empresa Malagueña de Transporte,http://datosabiertos.malaga.eu/dataset/ubicaciones-de-autobuses-emt-en-tiempo-real,Ubicaciones de autobuses EMT en tiempo real,"bus,datos geolocalizados,emt,fiware",2017/10/18_12:56:54,1 minuto,"CSV,GeoJSON,GeoJSON",Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 12:56",,,Transporte,
MAL,Ocupación de los aparcamientos de SMASSA en formato CSVDescripción: Contiene...,Responsable de la información del Área de movilidad,http://datosabiertos.malaga.eu/dataset/ocupacion-aparcamientos-smassa,Ocupación aparcamientos públicos,"SMASSA,aparcamientos,datos geolocalizados",2017/10/18_12:56:54,1 minuto,CSV,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 12:56",,,Transporte,
MAL,,Responsable de la Empresa Malagueña de Transporte,http://datosabiertos.malaga.eu/dataset/lineas-y-paradas-autobuses-emt,Líneas y paradas autobuses EMT,"autobuses,líneas,paradas,transporte",2017/10/18_12:57:00,Diaria,"GeoJSON,CSV",Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 08:00",,,Transporte,
MAL,Estado de los estacionamientos en formato CSV.,Responsable del Área de Accesibilidad y Movilidad,http://datosabiertos.malaga.eu/dataset/malaga-bici,Málaga bici,"aparcamiento,bici,bicicleta,estacionamiento",2017/10/18_12:56:59,,CSV,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 12:56",,,Transporte,
MAL,"Contiene los eventos del Ayuntamiento de Málaga en formato CSV, junto con las...","Responsable del área de Cultura, turismo, deporte, educación y juventud",http://datosabiertos.malaga.eu/dataset/agenda-2017,Agenda 2017,"actividades,agenda,cultura,eventos",2017/10/18_12:57:03,,CSV,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 05:30",,,Cultura y Ocio,
MAL,CSV Sistema Referencia EPSG 25830. Previsualización disponible en Geoportal,Responsable Area de movilidad,http://datosabiertos.malaga.eu/dataset/aparcamientos-smassa,Aparcamientos públicos,"aparcamientos,geoportal,smassa",2017/10/18_12:57:04,Diaria,"CSV,CSV,CSV,GeoJSON,GeoJSON,GeoJSON,SHP,SHP,SHP,KML,KML,KML",Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 06:15",,,Transporte,
MAL,Archivo comprimido con toda la información relativa a las líneas y horarios...,Responsable de la Empresa Malagueña de Transporte,http://datosabiertos.malaga.eu/dataset/lineas-y-horarios-bus-google-transit,Lineas y horarios bus - Google Transit,"Autobús,Google Transit,Horario,Línea",2017/10/18_12:57:08,,ZIP,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 05:11",,,Transporte,
MAL,Informa sobre los distintos tipos de servicios y horarios en función del día...,Responsable de la Empresa Malagueña de Transporte,http://datosabiertos.malaga.eu/dataset/linea-bus-horarios,Líneas y horarios bus - Calendario,"Autobús,Horario,Línea",2017/10/18_12:57:10,,CSV,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 05:11",,,Transporte,
MAL,Contiene la información horaria para cada servicio especificado en el archivo...,Responsable de la Empresa Malagueña de Transporte,http://datosabiertos.malaga.eu/dataset/lineas-y-horarios-bus-horario,Líneas y horarios bus - Horario,"Autobús,Horario,Línea",2017/10/18_12:57:13,,CSV,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 05:11",,,Transporte,
MAL,"Especifica las excepciones sobre tipos de servicios y horarios, dentro del...",Responsable de la Empresa Malagueña de Transporte,http://datosabiertos.malaga.eu/dataset/linea-bus-excepciones,Líneas y horarios bus - Excepciones,"Autobús,Horario,Línea",2017/10/18_12:57:15,,CSV,Creative Commons Reconocimiento-CompartirIgual 3.0 España,"18 Octub 2017, 05:11",,,Transporte,
