city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
PAL,not-found,,http://datosabiertos.laspalmasgc.es/data/?offset=90&limit=10, Conjuntos de datos,"vehículos (23),accidentes (19),atestados (19),heridos (19),lesividad (19),2013 (12),2014 (12),habitantes (11),lpa visit (11),población (9),turismo (9),ocio (8),padrón (6),playas (5),alojamientos (4),costa (4),cultura (4),niños (4),paradas (4),servicios sociales (4),bienestar social (3),consumo (3),emigración (3),estacionamiento (3),infantil (3),mar (3),mujeres (3),municipio (3),pirámide (3),público (3),restauración (3),rutas (3),actividades (2),agua (2),azul (2),calles (2),citas (2),educacion (2),electricidad (2),espiras (2),estacionamientos (2),fuentes (2),gastronomia (2),guaguas (2),hombres (2),inmigración (2),monumentos (2),país (2),primaria (2),provincia (2),reclamaciones (2),regulada (2),reservas (2),servicio público (2),transporte (2),verde (2),viales (2),092 (1),112 (1),1998 (1),1999 (1),2000 (1),2001 (1),2002 (1),2003 (1),2004 (1),2005 (1),2006 (1),2007 (1),2008 (1),2009 (1),2010 (1),2011 (1),2012 (1),2015 (1),2016 (1),Administración Pública (1),Beacons (1),Colegios Electorales (1),Cultura (1),Elecciones (1),Playas (1),accesibilidad (1),acceso (1),acciones (1),acogida (1),adaptación (1),aforo (1),aforos (1),albergues (1),alojamiento (1),alumbrado (1),ampliación (1),animación (1),aparcamiento (1),apartamentos (1),aprendizaje (1),arte (1),artísticos (1),atractivos (1),Expandir",2017/10/18_17:13:14,,"CSV, (93),XML, (28),HTML, (29),JSON-G, (28),N3, (28),RDF, (29),TURTLE, (28),JSONLD-G, (28),ATOM, (28),ODS, (53),XLS, (28),XLSX, (26),KMZ, (1),RSS, (1),WFS, (1),WMS, (1),ZIP, (1),Expandir",,,,,"Transporte, (31),Seguridad, (21),Salud, (19),Cultura y Ocio, (13),Turismo, (13),Demografía, (11),Sector Público, (9),Urbanismo e Infraestructuras, (7),Sociedad y Bienestar, (6),Educación, (5),Comercio, (3),Deporte, (3),Energía, (3),Medio Ambiente, (3),Ciencia y Tecnología, (2),Economía, (2),Medio Rural y Pesca, (2),Vivienda, (2),Legislación y Justicia, (1),Expandir",
PAL,Importe económico del consumo eléctrico por año en Las Palmas de Gran Canaria,,http://datosabiertos.laspalmasgc.es/dataset/?id=consumo-electrico-las-palmas-de-gran-canaria,"Coste del consumo eléctrico, Las Palmas de Gran Canaria","consumo,electricidad,eléctrico,potencia",2017/10/18_17:13:15,Anual,"CSV,ODS,XLS",Reutilización de la información del sector público para el ámbito del sector público estatal,21/04/2017 11:04:58,,23/10/2014 12:38:00,Energía,
PAL,"Herramienta APP que permitirá a los ciudadanos informar de situaciones que se producen en los espacios públicos de la ciudad y que necesitan ser gestionados por el Ayuntamiento.
Los ciudadanos podrán reportar incidencias que se hayan producido en calles, vías, espacios verdes, mobiliario y equipamientos urbanos sin necesidad ni de describir dónde se hizo la foto ya que la ubicación se obtiene por georeferenciación del propio móvil.",,http://datosabiertos.laspalmasgc.es/dataset/?id=lpa-avisa,LPA Avisa,"georeferenciación,incidencias,lpa avisa",2017/10/18_17:13:15,Diaria,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Reutilización de la información del sector público para el ámbito del sector público estatal,05/04/2017 08:38:46,,19/12/2014 13:28:10,Sector Público,
PAL,Bienestar Social. Citas concedidas por años desde el 2008 hasta la actualidad,,http://datosabiertos.laspalmasgc.es/dataset/?id=bienestar-social-citas-2008-actualidad,Bienestar Social. Citas concedidas,"bienestar social,citas,servicios sociales",2017/10/18_17:13:17,Diaria,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Reutilización de la información del sector público para el ámbito del sector público estatal,04/04/2017 13:32:34,,14/10/2014 07:58:49,Sociedad y Bienestar,
PAL,Bienestar Social. Expedientes abiertos desde 2008 hasta la actualidad,,http://datosabiertos.laspalmasgc.es/dataset/?id=bienestar-social-expedientes-2008-actualidad,Bienestar Social. Expedientes abiertos,"bienestar social,expedientes,servicios sociales",2017/10/18_17:13:17,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Reutilización de la información del sector público para el ámbito del sector público estatal,05/04/2017 08:18:09,,15/10/2014 06:27:29,Sociedad y Bienestar,
PAL,Relación de calles de Las Palmas de Gran Canaria,,http://datosabiertos.laspalmasgc.es/dataset/?id=calles-de-las-palmas-de-gran-canaria,Calles de Las Palmas de Gran Canaria,"calle,callejero",2017/10/18_17:13:18,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Reutilización de la información del sector público para el ámbito del sector público estatal,06/10/2016 14:31:37,,06/10/2016 14:07:26,Sector Público,
PAL,Bienestar Social. Demandas desde 2008 hasta la actualidad,,http://datosabiertos.laspalmasgc.es/dataset/?id=bienestar-social-demandas,Bienestar Social. Demandas,"bienestar social,demandas,servicios sociales",2017/10/18_17:13:18,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Reutilización de la información del sector público para el ámbito del sector público estatal,04/04/2017 13:28:11,,18/11/2014 12:05:12,"Sociedad y Bienestar,Sociedad y Bienestar",
PAL,"Actividades de ocio y tiempo libre dirigidas a adultos y promovidas por la Sección de Educación en el curso 2013/2014, a través de los proyectos Universidad Popular y Educarte. Centros en los que se imparten y número de plazas ofertadas. Talleres, sesiones prácticas, rutas, charlas, exposiciones y actos festivos relacionados con la cultura, el ocio y el tiempo libre, tradiciones canarias, artes plásticas, artes escénicas, baile, artesanías, moda, estética, instrumentos musicales, cuerpo y salud, medio ambiente, reciclado y consumo, creatividad, fomento de la empleabilidad, etc.",,http://datosabiertos.laspalmasgc.es/dataset/?id=actividades-ocio-tiempo-libre-adultos-2013-2014,"Actividades de ocio y tiempo libre dirigidas a adultos. Cursos 2013/2014, 2014/2015.","animación,aprendizaje,charlas,conferencias,cultura,exposiciones,ocio,rutas,senderismo,sociocultural,talleres,tiempo libre,Expandir",2017/10/18_17:13:19,Anual,"XLS,CSV,ODS",Reutilización de la información del sector público para el ámbito del sector público estatal,15/04/2016 09:15:52,,05/08/2014 08:56:32,"Cultura y Ocio,Educación",
PAL,"Escuela Municipal de Educación Musical de Las Palmas de Gran Canaria: media de usuarios por sede y especialidad, con indicación de direcciones y teléfonos de cada sede.",,http://datosabiertos.laspalmasgc.es/dataset/?id=escuela-municipal-educacion-musical-2013-2014,Escuela Municipal de Educación Musical.,"actividades,bajo,batería,bombardino,clarinete,contrabajo,coro,cultura,educación,educación de la voz,escuela,fagot,flauta,guitarra,instrumento,isleta,media,musical,música,niños,oboe,ocio,percusión,piano,púa,rehoyas,saxofón,timple,trombón,trompa,trompeta,usuarios,vegueta,viola,violoncello,violín,Expandir",2017/10/18_17:13:19,Anual,"XLS,CSV,ODS",Reutilización de la información del sector público para el ámbito del sector público estatal,19/04/2016 08:02:34,,05/08/2014 07:15:28,"Cultura y Ocio,Educación",
PAL,"Accidentes con lesividad en Las Palmas de Gran Canaria. La estructura de los datos de cada año están compuestos por tres ficheros asociados 1) accidentes: db_acc_año, 2) heridos: db_her_año, 3) vehículos: db_veh_año. Estos ficheros están relacionados por el campo DILIG",,http://datosabiertos.laspalmasgc.es/dataset/?id=atestados-policia-local-de-las-palmas-de-gran-canaria-2015,Atestados Policía Local de Las Palmas de Gran Canaria 2015,"2015,accidentes,atestados,heridos,lesividad,vehículos,Expandir",2017/10/18_17:13:20,Diaria,"CSV,ODS,XLSX",Reutilización de la información del sector público para el ámbito del sector público estatal,23/03/2016 11:51:03,,27/02/2015 10:11:19,"Salud,Seguridad,Transporte",
PAL,"Accidentes con lesividad en Las Palmas de Gran Canaria. La estructura de los datos de cada año están compuestos por tres ficheros asociados 1) accidentes: db_acc_año, 2) heridos: db_her_año, 3) vehículos: db_veh_año. Estos ficheros están relacionados por el campo DILIG",,http://datosabiertos.laspalmasgc.es/dataset/?id=atestados-policia-local-de-las-palmas-de-gran-canaria-2016,Atestados Policía Local de Las Palmas de Gran Canaria 2016,"2016,accidentes,atestados,heridos,lesividad,vehículos,Expandir",2017/10/18_17:13:20,Diaria,CSV,Reutilización de la información del sector público para el ámbito del sector público estatal,23/03/2016 11:07:34,,23/03/2016 11:05:05,"Salud,Seguridad,Transporte",
PAL,"Diariamente bien por razones de mantenimiento o por la propia actividad cotidiana, se producen incidencias previstas en las calles de las Palmas de Gran Canaria, que dan lugar a la ocupación de parte de los viales o al cierre completo de los mismos",,http://datosabiertos.laspalmasgc.es/dataset/?id=cierre-y-ocupacion-de-calles,Cierre y ocupación de calles,"calles,cierre,obras,ocupación,viales",2017/10/18_17:13:21,Diaria,CSV,Reutilización de la información del sector público para el ámbito del sector público estatal,14/03/2016 07:52:43,,01/10/2014 08:27:34,"Seguridad,Transporte",
PAL,"Conjunto de datos accesibles directamente desde el sistema de Guaguas Municipales S. A., en cuanto a líneas, paradas y sus detalles, líneas pasan por una parada, parada más cercana a una ubicación y vehículos próximos a una parada.
",,http://datosabiertos.laspalmasgc.es/dataset/?id=guaguas-municipales-tiempo-real,Guaguas Municipales tiempo real,"guaguas,líneas,paradas,público,transporte,vehículos,Expandir",2017/10/18_17:13:21,Tiempo Real,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Reutilización de la información del sector público para el ámbito del sector público estatal,03/03/2016 13:03:53,,02/10/2014 09:04:51,Transporte,
PAL,"Descripción de las Viviendas vacacionales de la ciudad de Las Palmas de Gran Canaria, inscritos en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria.",,http://datosabiertos.laspalmasgc.es/dataset/?id=viviendas-vacacionales,Viviendas vacacionales,"vacaciones,viviendas",2017/10/18_17:13:22,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:18:37,,26/02/2016 11:04:14,"Economía,Turismo",
PAL,"Descripción de los recursos relacionados con la Vela recreativa de la ciudad de Las Palmas de Gran Canaria, inscritos en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria.",,http://datosabiertos.laspalmasgc.es/dataset/?id=vela,Vela recreativa,"costa,mar,playa,vela",2017/10/18_17:13:22,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:17:08,,26/02/2016 11:00:27,Deporte,
PAL,"Descripción de los recursos relacionados con el surf de la ciudad de Las Palmas de Gran Canaria, inscritos en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria.",,http://datosabiertos.laspalmasgc.es/dataset/?id=surf,Surf,"costa,playas,surf",2017/10/18_17:13:23,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:15:49,,26/02/2016 10:57:04,Deporte,
PAL,"Descripción de las Rutas urbanas que se pueden realizar en la ciudad de Las Palmas de Gran Canaria, inscritas en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria",,http://datosabiertos.laspalmasgc.es/dataset/?id=rutas,Rutas urbanas,rutas,2017/10/18_17:13:24,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:14:25,,26/02/2016 10:52:55,Cultura y Ocio,
PAL,"Descripción de los Albergues Juveniles de la ciudad de Las Palmas de Gran Canaria, inscritos en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria.",,http://datosabiertos.laspalmasgc.es/dataset/?id=albergues,Albergues juveniles,"albergues,alojamiento,lpa visit",2017/10/18_17:13:24,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:13:01,,26/02/2016 10:40:36,Turismo,
PAL,"Descripción de las Playas de la ciudad de Las Palmas de Gran Canaria, inscritas en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria.",,http://datosabiertos.laspalmasgc.es/dataset/?id=playas,Playas,"Playas,costa,mar",2017/10/18_17:13:25,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:09:29,,26/02/2016 10:50:19,"Medio Ambiente,Medio Rural y Pesca",
PAL,"Descripción de los recursos relacionados con el buceo de la ciudad de Las Palmas de Gran Canaria, inscritos en la Sociedad de Promoción de la Ciudad de Las Palmas de Gran Canaria.",,http://datosabiertos.laspalmasgc.es/dataset/?id=buceo,Buceo,"buceo,costa,mar,playas",2017/10/18_17:13:25,Mensual,"XML,JSON-G,CSV,RDF,HTML,N3,TURTLE,JSONLD-G,ATOM",Atribución 4.0 Internacional (CC BY 4.0),26/02/2016 11:10:52,,26/02/2016 10:46:57,Deporte,
PAL,Catálogo de bienes histórico-artístico del Ayuntamiento de Las Palmas de Gran Canaria,,http://datosabiertos.laspalmasgc.es/dataset/?id=catalogo-bienes-historico-municipal,Catálogo de bienes histórico municipal,"arte,bienes,historia",2017/10/18_17:13:26,Anual,CSV,Reutilización de la información del sector público para el ámbito del sector público estatal,25/02/2016 08:47:32,,27/06/2014 12:26:40,"Cultura y Ocio,Turismo",
