city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
RUB,"Taula de requeriments de la policia local amb detall dels tipus d'intervenció, amb històric des de l'any 2010",dadesobertes,https://opendata.rubi.cat/views/24wk-jbuj.json,Intervencions de la policia municipal,"policia,seguretat,rubí,intervenció,requeriments,trànsit,assistència",2017/10/19_11:48:14,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/01/11_01:44:50,,2015/03/15_18:27:44,Policia,
RUB,"Taula dels tipus de moviments de la població de Rubí registrats al padró municipal, amb històric des de l'any 1996",dadesobertes,https://opendata.rubi.cat/views/bz2k-bahv.json,Població de Rubí_moviments del padró,"població,moviments,rubí,alta,canvi,domicili,baixa,renovació",2017/10/19_11:48:15,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2016/06/16_13:42:31,,2016/06/16_13:20:30,Padró Habitants,
RUB,Relació de comerços que representen els expedients d'activitats  del municipi,dadesobertes,https://opendata.rubi.cat/views/7nx9-3d4y.json,Activitats comercials,"activitats,comerç,esbarjo,salut,restauració,oficis,serveis,hotel,rubí",2017/10/19_11:48:15,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/10/18_01:50:36,,2014/11/28_12:57:48,Ciutat,
RUB,Relació d'expedients administratius interns (tipologia i descripció) tramitats per l'Ajuntament de Rubí,dadesobertes,https://opendata.rubi.cat/views/qjm9-wcrk.json,Expedients municipals,"expedients,rubí,tramitació,gestió,procediment,administratiu",2017/10/19_11:48:15,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/10/19_02:20:50,,2015/03/22_20:19:39,Tràmits i Gestions,
RUB,"Taula de dades electorals (europees, estatals, autonòmiques i municipals) amb el detall dels vots a partits i amb històric des de l'any 1976",dadesobertes,https://opendata.rubi.cat/views/k6t6-tu3a.json,Resultats electorals,"eleccions,municipals,autonòmiques,europees,rubí,congrés,senat,referèndum,partits",2017/10/19_11:48:15,,,Creative Commons Attribution | Noncommercial 3.0 Unported,2016/06/21_20:46:03,,2016/06/21_20:40:23,Eleccions,
RUB,Dades demogràfiques del municipi de Rubí corresponents a l'any en curs,dadesobertes,https://opendata.rubi.cat/views/48gr-gt5d.json,Població de Rubí_any actual,"població,llars,immigracio,rubí,demografia,procedència,estudis",2017/10/19_11:48:15,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/01/11_01:39:48,,2015/03/22_18:56:22,Padró Habitants,
RUB,"Conjunt de dades corresponents a les despeses pressupostàries en compres de béns corrents, serveis i inversions",dadesobertes,https://opendata.rubi.cat/views/qnp2-hje6.json,Obligacions reconegudes,"pressupost,obligacions,rubí,despeses,hisenda,finances,béns,corrents,serveis,inversions",2017/10/19_11:48:16,,,Creative Commons Attribution | Noncommercial 3.0 Unported,2017/10/18_12:31:05,,2016/02/22_09:28:56,Finances Municipals,
RUB,Taula de retribucions salarials de la plantilla de l'Ajuntament de Rubí corresponent a l'any 2014,dadesobertes,https://opendata.rubi.cat/views/fmfs-4e6x.json,Retribucions salarials de la plantilla municipal,"retribucions,plantilla,salaris,categoria,sou,rubí,jornada",2017/10/19_11:48:16,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2015/03/17_12:26:38,,2015/03/17_12:27:03,Recursos Humans,
RUB,Sol·licituds carpeta ciutadana,dadesobertes,https://opendata.rubi.cat/views/3xde-z62k.json,Sol·licituds carpeta ciutadana,tràmits,2017/10/19_11:48:16,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/10/13_02:15:29,,2015/03/21_13:03:17,Tràmits i Gestions,
RUB,"Taula amb els imports inicials del Pressupost municipal de despeses, amb històric des de l'any 2009",dadesobertes,https://opendata.rubi.cat/views/4esw-tbja.json,Pressupost municipal_Despeses inicials,"pressupost,finances,despeses,hisenda,economia,rubí",2017/10/19_11:48:16,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2016/02/10_11:48:32,,2015/03/11_13:55:47,Finances Municipals,
RUB,Subvencions que atorga l'Ajuntament de Rubí a persones jurídiques,dadesobertes,https://opendata.rubi.cat/views/7qkq-ua87.json,Subvencions municipals,"subvencions,finances,rubí,ajuts,economia,beneficiari,concessió",2017/10/19_11:48:17,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/10/19_02:35:45,,2015/05/28_14:13:28,Finances Municipals,
RUB,Taula que mostra l'estat actualitzat d'execució del pressupost vigent pel que fa a les despeses municipals,dadesobertes,https://opendata.rubi.cat/views/ynig-hhni.json,Pressupost municipal_Estat d'execució de despeses,"pressupost,finances,execució,hisenda,economia,rubí",2017/10/19_11:48:17,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2017/06/09_00:55:52,,2017/03/03_11:48:31,Finances Municipals,
