city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
TER,Mapa de la ciutat amb les divisions per barris / Mapa de la ciudad con las divisiones por barrios / City map with neighborhoods boundaries,OpenDataTerrassa,https://opendata.terrassa.cat/views/6azy-33fp.json,Mapa de la ciutat amb les divisions per barris / Mapa de la ciudad con las divisiones por barrios / City map with neighborhoods boundaries,"cartografia,mapes,plànols,cartografía,mapas,planos,cartography,maps",2017/10/19_11:46:32,,,Creative Commons Attribution 3.0 Unported,2017/10/08_18:03:22,,2016/08/07_18:11:33,CARTOGRAFIA,
TER,Llistat de totes les empreses de Terrassa amb les dades de contacte i tipus d'activitat que desenvolupen. També inclou les dades dels professionals que exerceixen la seva activitat a Terrassa i que han autoritzat a l'Ajuntament la seva publicació / Listado de todas las empresas de Terrassa con los datos de contacto y tipo de actividad que desarrollan. También incluye los datos de los profesionales que ejercen su actividad en Terrassa y que han autorizado al Ayuntamiento su publicación / List of all companies in Terrassa with contact details and type of activity performed. It also includes the professional contact details that operate in Terrassa and who have authorized the City Council for publication,OpenDataTerrassa,https://opendata.terrassa.cat/views/fdwa-jtnm.json,Cens d'activitats econòmiques de Terrassa / Censo de actividades económicas de Terrassa / Census economic activities of Terrassa,"empresa,activitats,cens,economia,actividades,censo,economía,business,activities,census,economy",2017/10/19_11:46:33,,,Creative Commons Attribution 3.0 Unported,2017/10/19_03:01:05,,2017/10/19_03:01:09,CENS_ACTIVITATS,
TER,Directori d'entitats sense ànim de lucre de Terrassa inscrites al Registre Municipal d'Entitats i Associacions Ciutadanes (RMEAC) / Directorio de entidades sin ánimo de lucro de Terrassa instritas en el Registro Municipal de Entidades y Asociaciones Ciudadanas (RMEAC) / Directory of nonprofit entities of Terrassa registered in the Municipal Register of Citizen Associations and Entities (RMEAC),OpenDataTerrassa,https://opendata.terrassa.cat/views/mfd5-kefv.json,Directori d'entitats / Directorio de entidades / Directory of Organizations,"associacions,entitats,participació,rmeac,asociaciones,entidades,participación,rmea,associations,participation",2017/10/19_11:46:33,,,Creative Commons Attribution 3.0 Unported,2017/10/19_03:04:27,,2017/10/19_03:04:30,ENTITATS,
TER,"Pressupost definitiu i liquidació de les quantitats que l'Ajuntament té previst gastar en l'exercici econòmic vigent, amb el seu detall per Àrea, Servei, Programa, Capítol i concepte de la despesa / Detalle de todas las cantidades que el Ayuntamiento tiene previsto gastar en el ejercicio económico vigente con indicación del concepto por el que se gastan / Detail of all amounts that the City Council plans to spend in the current financial year indicating the approach by which spent",OpenDataTerrassa,https://opendata.terrassa.cat/views/nfz4-hmyn.json,Pressupost de despeses 2015 / Presupuesto de gastos 2015 / Expenditures Budget 2015,"despeses,pressupost,gastos,presupuesto,expenses,budget",2017/10/19_11:46:33,,,Creative Commons Attribution 3.0 Unported,2017/10/08_18:06:19,,2017/09/03_18:06:18,DESPESES,
TER,"Pressupost definitiu i liquidació de les quantitats que l'Ajuntament té previst gastar en l'exercici econòmic vigent, amb el seu detall per Àrea, Servei, Programa, Capítol i concepte de la despesa / Detalle de todas las cantidades que el Ayuntamiento tiene previsto gastar en el ejercicio económico vigente con indicación del concepto por el que se gastan / Detail of all amounts that the City Council plans to spend in the current financial year indicating the approach by which spent",OpenDataTerrassa,https://opendata.terrassa.cat/views/vbxh-amqw.json,Pressupost de despeses de l'Ajuntament de Terrassa / Presupuesto de gastos del Ayuntamiento de Terrassa / Terrassa City Council expenditure budget,"despeses,pressupost,gastos,presupuesto,expenses,budget",2017/10/19_11:46:33,,,Creative Commons Attribution 3.0 Unported,2017/10/08_18:06:19,,2017/10/08_18:06:24,DESPESES,
TER,"Informació de tots els actes (culturals, esportius, etc.) que es realitzen a Terrassa, tant si són organitzats per l'Ajuntament com per altres entitats públiques o privades / Información de todos los actos de cualquier tipo (culturales, deportivos, etc.) que se realizan en Terrassa ya sean organizados por el Ayuntamiento o por cualquier otra entidad pública o privada / Information of all events of any kind (cultural, sports, etc.) performed in Terrassa whether organized by the City Council or any other public or private organization",OpenDataTerrassa,https://opendata.terrassa.cat/views/5s5d-67ar.json,Agenda d'activitats de la ciutat de Terrassa / Agenda de actividades de la ciudad de Terrassa / Events calendar of Terrassa city,"cultura,actes,activitats,agenda,esports,events,oci,actos,actividades,deportes,eventos,ocio,culture,acts,activities,planner,sports,leisure",2017/10/19_11:46:34,,,Creative Commons Attribution 3.0 Unported,2017/10/19_03:01:48,,2017/10/19_03:01:52,AGENDA,
TER,Mapa d'aparcaments i zones d'aparcament reservat a persones amb mobilitat reduïda de Terrassa / Mapa de parkings y zonas de aparcamiento reservado a personas con mobilidad reducida de Terrassa / Map parkings and parking areas reserved for disabled people at Terrassa,OpenDataTerrassa,https://opendata.terrassa.cat/views/kyqi-kett.json,Mapa aparcaments de Terrassa / Mapa parkings de Terrassa / Parking maps in Terrassa,"cartografia,ensenyament,mapes,plànols,escoles,centres,centres escolars,primària,secundària,cartografía,enseñanza,mapas,planos,escuelas,guarderías,centros enseñanza,centros escolares,primaria,secundaria,cartography,education,maps,schools,nursery,learning center,primary,secondary",2017/10/19_11:46:34,,,Creative Commons Attribution 3.0 Unported,2016/03/21_10:34:47,,2016/05/20_12:09:29,MOBILITAT_I_TRANSPORT,
TER,"Pressupost definitiu i liquidació de les quantitats que l'Ajuntament té previst gastar en l'exercici econòmic vigent, amb el seu detall per Àrea, Servei, Programa, Capítol i concepte de la despesa / Detalle de todas las cantidades que el Ayuntamiento tiene previsto gastar en el ejercicio económico vigente con indicación del concepto por el que se gastan / Detail of all amounts that the City Council plans to spend in the current financial year indicating the approach by which spent",OpenDataTerrassa,https://opendata.terrassa.cat/views/q29i-ctmf.json,Pressupost de despeses 2016 / Presupuesto de gastos 2016 / Expenditures Budget 2016,"despeses,pressupost,gastos,presupuesto,expenses,budget",2017/10/19_11:46:34,,,Creative Commons Attribution 3.0 Unported,2017/10/08_18:06:19,,2017/09/03_18:06:18,DESPESES,
TER,Arxiu municipal d'imatges de la ciutat de Terrassa / Archivo municipal de imágenes de la ciudad de terrassa / Municipal photos archive of the City of Terrassa,Cristian,https://opendata.terrassa.cat/views/3bcr-vaa9.json,Arxiu d'imatges / Archivo de imágenes / Photos Archive,"arxiu,fotos,imatges,municipal,terrassa,archivo,imágenes,archive,photos,images",2017/10/19_11:46:34,,,Creative Commons Attribution | No Derivative Works 3.0 Unported,2016/03/07_14:47:22,,2016/03/07_14:49:26,ARXIU_MUNICIPAL_IMATGES,
TER,"Pressupost definitiu i liquidació de les quantitats que l'Ajuntament té previst gastar en l'exercici econòmic vigent, amb el seu detall per Àrea, Servei, Programa, Capítol i concepte de la despesa / Detalle de todas las cantidades que el Ayuntamiento tiene previsto gastar en el ejercicio económico vigente con indicación del concepto por el que se gastan / Detail of all amounts that the City Council plans to spend in the current financial year indicating the approach by which spent",OpenDataTerrassa,https://opendata.terrassa.cat/views/scbr-ymre.json,Pressupost de despeses 2014 / Presupuesto de gastos 2014 / Expenditures Budget 2014,"despeses,pressupost,gastos,presupuesto,expenses,budget",2017/10/19_11:46:35,,,Creative Commons Attribution 3.0 Unported,2017/10/08_18:06:19,,2017/09/03_18:06:18,DESPESES,
