city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
EIB,not-found,,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa?p_p_id=ODS_WAR_DOGGipuzkoaIrekiaPublicportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_ODS_WAR_DOGGipuzkoaIrekiaPublicportlet_resetCur=false&_ODS_WAR_DOGGipuzkoaIrekiaPublicportlet_cur=2,not-found,,2017/10/20_12:53:36,,,,,,,,
EIB,Bienes Inmuebles de Naturaleza Urbana existentes en el Catastro de Gipuzkoa,GFA - Gipuzkoako Foru Aldundia,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/c4968919-2792-4a00-b852-c5304b1084e0,Bienes Inmuebles de Naturaleza Urbana (EIBAR),"Catastro Urbano,Hirilurren katastro,Locales,Lokalak,Parcelas,Partzelak",2017/10/20_12:53:38,15 Días," CSV, CSV",Creative Commons Reconocimiento (CC BY),16-10-2017,,19-10-2016,Hacienda,
EIB,Bienes Inmuebles de Naturaleza Rústica existentes en el Catastro de Gipuzkoa,GFA - Gipuzkoako Foru Aldundia,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/73fdb18e-cb84-40d3-bae4-facc4e994a23,Bienes Inmuebles de Naturaleza Rústica (EIBAR),"Catastro rústico,Landalurren katastroa,Parcelas,Partzelak,Subparcelas,Subpartzelak",2017/10/20_12:53:38,15 Días," CSV, CSV",Creative Commons Reconocimiento (CC BY),16-10-2017,,19-10-2016,Hacienda,
EIB,Ratios económico-financieros ,Eibarko Udala,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/548b483e-a6e0-4dd9-98d3-63aeb4b566ec,Ratios económico-financieros,"Eibar,ayuntamiento,economico,ekonomiko,ratio,udala",2017/10/20_12:53:38,1 Meses,,Creative Commons Reconocimiento (CC BY),08-10-2017,,15-05-2016,Hacienda,
EIB,Información sobre la Deuda Municipal,Eibarko Udala,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/cbd3abf5-8190-4865-9321-d5bda76189c8,Deuda Municipal,"Eibar,ayuntamiento,deuda,udala,zorra",2017/10/20_12:53:39,1 Meses,,Creative Commons Reconocimiento (CC BY),08-10-2017,,15-05-2016,Hacienda,
EIB,Información de la Matrícula del Impuesto sobre Actividades Económicas.,GFA - Gipuzkoako Foru Aldundia,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/3f166d81-ff37-4ba6-b0aa-344471b1f470,Actividades Económicas (EIBAR),"IAE,etiketa2-iae,etiqueta2-iae",2017/10/20_12:53:39,15 Días, CSV,Creative Commons Reconocimiento (CC BY),16-10-2017,,30-11-2016,Hacienda,
EIB,Plazo medio de pago del Ayuntamiento,Eibarko Udala,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/2803cbf5-d6af-4d8f-9b93-5b3985693d54,Plazo medio de pago del Ayuntamiento,"Eibar,ayuntamiento,epea,ordainketa,pago,plazo,udala",2017/10/20_12:53:40,3 Meses," XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS",Creative Commons Reconocimiento (CC BY),23-07-2017,,13-03-2016,Hacienda,
EIB,"Funciones, CV y retribuciones de los cargos de confianza.",Pegora,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/9f4014cf-8a81-4252-b9a9-4d8b2c473327,"Funciones, CV y retribuciones de los cargos de confianza.","CV,betekizunak,funciones,ordainsariak,retribuciones",2017/10/20_12:53:40,1 Años,,Creative Commons Reconocimiento - CompartirIgual (CC BY-SA),12-07-2017,,11-12-2015,Sector público,
EIB,Facturas recibidas en el Ayuntamiento de Eibar,Eibarko Udala,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/237470be-1ee6-47c9-bdf1-de8372da5021,Facturas recibidas en el Ayuntamiento de Eibar,"BEZ,Eibar,IVA,ayuntamiento,factura,faktura,udala",2017/10/20_12:53:40,1 Años," XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS, XLS",Creative Commons Reconocimiento - CompartirIgual (CC BY-SA),23-07-2017,,24-03-2015,Hacienda,
EIB,"Datos del Presupuesto del Ayuntamiento de Eibar. Los datos se dan por Capitulo, Artículo, Económica, Subeconómica y Programa",Eibarko Udala,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/3169ab5a-0da1-40fb-85e1-843fcc4ea48e,Datos del Presupuesto del Ayuntamiento de Eibar,"Artikulo,Artículo,Aurrekontua,Azpiekonomiko,Capitulo,Económica,Eibar,Ekonomiko,Kapitulo,Programa,Subeconómica,udala",2017/10/20_12:53:41,1 Años," XLS, XLS",Creative Commons Reconocimiento - CompartirIgual (CC BY-SA),08-10-2017,,24-03-2015,Hacienda,
EIB,Ajustes en el informe de evaluación del Ayuntamiento,Eibarko Udala,http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa/-/openDataSearcher/detail/detailView/14ce12ed-5288-4d98-9ec1-5505f55d681f,Ajustes en el informe de evaluación del Ayuntamiento,"Eibar,ajuste,ayuntamiento,doikuntza,flexibilidad,udala",2017/10/20_12:53:41,1 Años," XLS, XLS",Creative Commons Reconocimiento (CC BY),28-05-2017,,30-10-2016,Hacienda,
