city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
FEL,,,http://opendata.santfeliu.cat/santfeliu/es/catalog/4,Catálogo de Datos Abiertos,,2017/10/20_13:11:07,,,,,,,,
FEL,Altas por immigración en el padrón de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/IMMIGRACIONS_PADRO,Altas por immigración en el padrón de Sant Feliu de Llobregat,,2017/10/20_13:11:09,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",03/06/2015,,03/06/2015,Demografía,
FEL,"Altas por nacimiento en el padrón, por mes y sexo de Sant Feliu de Llobregat",Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/ALTES_NAIXEMENT_PADRO_MES,"Altas por nacimiento en el padrón, por mes y sexo de Sant Feliu de Llobregat",Año 2010,2017/10/20_13:11:09,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,29/05/2015,Demografía,
FEL,"Altas por nacimiento en el padrón, por nacionalitat y género de Sant Feliu de Llobregat",Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/ALTES_NAIXEMENT_PADRO_NACIO,"Altas por nacimiento en el padrón, por nacionalitat y género de Sant Feliu de Llobregat",,2017/10/20_13:11:11,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
FEL,Altas por omisión en el padrón de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/ALTES_OMISSIO_PADRO,Altas por omisión en el padrón de Sant Feliu de Llobregat,,2017/10/20_13:11:11,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
FEL,Bajas por inscripcion indebida en el padrón de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/BAIXES_INSCRIPCIO_INDEGUDA_PADRO,Bajas por inscripcion indebida en el padrón de Sant Feliu de Llobregat,,2017/10/20_13:11:14,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
FEL,Bajas por emigración en el padrón de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/BAIXES_EMIGRACIO_PADRO,Bajas por emigración en el padrón de Sant Feliu de Llobregat,,2017/10/20_13:11:14,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
FEL,"Bajas por nacimiento en el padrón, por nacionalitat y género de Sant Feliu de Llobregat",Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/BAIXES_DEFUNCIO_PADRO_NACIO,"Bajas por nacimiento en el padrón, por nacionalitat y género de Sant Feliu de Llobregat",,2017/10/20_13:11:17,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
FEL,"Bajas por nacimiento en el padrón, por mes y sexo de Sant Feliu de Llobregat",Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/BAIXES_DEFUNCIO_PADRO_MES,"Bajas por nacimiento en el padrón, por mes y sexo de Sant Feliu de Llobregat",Año 2010,2017/10/20_13:11:17,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,02/06/2015,Demografía,
FEL,Barrios del municipio de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/BARRIS_GRAFICS,Barrios del municipio de Sant Feliu de Llobregat,Barrio,2017/10/20_13:11:21,Anual," sgm, sgml","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",01/07/2017,,03/06/2015,Urbanismo e infraestructuras,
FEL,Nombres oficiales de las calles y vías del Municipio de Sant Feliu de Llobregat con la codificación INE y la municipal,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/CARRERER,Callejero del municipio,calles,2017/10/20_13:11:22,Trimestral,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",01/10/2017,,23/10/2013,Urbanismo e infraestructuras,
FEL,Cambios de domicilio en el padrón de Sant Feliu de Llobregat por nacionalidad,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/CANVIS_DOMICILI_PADRO_NACIO,Cambios de domicilio en el padrón de Sant Feliu de Llobregat por nacionalidad,,2017/10/20_13:11:25,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
FEL,Cambios de domicilio en el padrón por mes de la ciudad de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/CANVIS_DOMICILI_PADRO_MES,Cambios de domicilio en el padrón por mes de la ciudad de Sant Feliu de Llobregat,Año 2010,2017/10/20_13:11:25,Anual,"csv,odata,csv,odata,csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,02/06/2015,Demografía,
FEL,Datos de participación de las elecciones Ajuntament de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/PARTICIPACIO_AUTONOMIQUES,Datos de participación de las elecciones Ajuntament de Sant Feliu de Llobregat,Año 2012,2017/10/20_13:11:26,Anual,"csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,02/07/2017,Sector público,
FEL,Censo de vehículos de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/CENS_VEHICLES,Censo de vehículos,Año 2013,2017/10/20_13:11:27,Mensual,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",01/10/2017,,09/10/2013,Transporte,
FEL,Datos de participación de las elecciones generales en Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/PARTICIPACIO_CONGRES,Datos de participación de las elecciones generales en Sant Feliu de Llobregat,Año 2011,2017/10/20_13:11:27,Anual,"csv,odata,csv,odata,csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",13/07/2016,,13/07/2016,Sector público,
FEL,Datos de patrimonio del Ajuntament de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/PATRIMONI,Datos de patrimonio del Ajuntament de Sant Feliu de Llobregat,Año 2015,2017/10/20_13:11:28,Anual,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",20/01/2016,,20/01/2016,Sector público,
FEL,Datos de presupuesto municipal ejecutado del Ajuntament de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/PRESSUPOST_MUNICIPAL_EXECUTAT_DESP,Datos de presupuesto municipal ejecutado del Ajuntament de Sant Feliu de Llobregat,Año 2015,2017/10/20_13:11:30,Anual,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",21/01/2016,,21/01/2016,Sector público,
FEL,Datos de presupuesto municipal ejecutado del Ajuntament de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/PRESSUPOST_MUNICIPAL_EXECUTAT_ING,Datos de presupuesto municipal ejecutado del Ajuntament de Sant Feliu de Llobregat,Año 2015,2017/10/20_13:11:30,Anual,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",21/01/2016,,21/01/2016,Sector público,
FEL,Datos los tramites del Ajuntament de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/TRAMITS,Datos los tramites del Ajuntament de Sant Feliu de Llobregat,Año 2015,2017/10/20_13:11:31,Anual,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",21/01/2016,,21/01/2016,Sector público,
FEL,Datos estaciones meteorologicas del Ajuntament de Sant Feliu de Llobregat,Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/DADES_METEOROLOGIQUES,Datos estaciones meteorologicas del Ajuntament de Sant Feliu de Llobregat,medida,2017/10/20_13:11:31,Diaria,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",03/06/2015,,03/06/2015,Medio ambiente,
FEL,"
                                Creado
                            ",Ajuntament de Sant Feliu de Llobregat,http://opendata.santfeliu.cat/santfeliu/es/datasets/NIVELLS_ACADEMICS,Descripción de los Niveles académicos,,2017/10/20_13:11:33,Anual,"csv,odata","CC BY 3.0: Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/07/2017,,03/06/2015,Demografía,
