city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
GAS,not-found,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/j34-01w/catalogo/buscadorDocumentos?pagina=6,not-found,,2017/10/20_13:23:09,,,,,,,,
GAS,Periodo medio de pago global del Ayuntamiento de Vitoria-Gasteiz y las Entidades municipales en 2017. Informes relativos a las medidas de lucha contra la morosidad en las operaciones comerciales de pago a proveedores.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0142&idioma=es,Periodo medio de pago global en 2017,"Economía,Sector público,Contabilidad pública,Deuda,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:23:09,,"ods,ods,ods,ods,ods,ods,ods,ods","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/10/2017,, 01/01/2017 - 31/12/2017,"Economía,Sector público,Contabilidad pública,Deuda,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,"Contratos menores formalizados por el Ayuntamiento de Vitoria-Gasteiz, con información detallada de sus importes y adjudicatarios. La información se ofrece acumulada por años pero se actualiza trimestralmente.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0009&idioma=es,Contratos menores formalizados ,"Sector público,Contratación,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:23:09,,"pdf,csv,csv,ods,ods","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",10/10/2017,, 01/01/2013 - ,"Sector público,Contratación,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,"Subvenciones corrientes recibidas por el Ayuntamiento de Vitoria-Gasteiz. Detalles y especificaciones que contiene el documento: importe, objetivo o finalidad y  beneficiarios.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0033&idioma=es,Subvenciones corrientes recibidas,"Economía,Sector público,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:23:10,,"pdf,pdf,pdf,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",20/09/2017,, 01/01/2013 - ,"Economía,Sector público,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,Estado de la ejecución presupuestaria (ingresos y gastos) del presupuesto 2017 del Ayuntamiento de Vitoria-Gasteiz.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0155&idioma=es,Presupuestos: ejecución presupuestaria 2017,"Sector público,Economía,Hacienda,Contabilidad pública,Impuestos,Presupuestos",2017/10/20_13:23:10,,"ods,ods,ods,ods","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",02/10/2017,, 01/01/2017 - 31/12/2017,"Sector público,Economía,Hacienda,Contabilidad pública,Impuestos,Presupuestos",
GAS,"Subvenciones de capital recibidas por el Ayuntamiento de Vitoria-Gasteiz. Detalles y especificaciones que contiene el documento: importe, objetivo o finalidad y beneficiarios.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0050&idioma=es,Subvenciones de capital recibidas ,"Economía,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:23:10,,"pdf,pdf,pdf,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",20/09/2017,, 01/01/2013 - ,"Economía,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,"Subvenciones y ayudas públicas concedidas por el Ayuntamiento de Vitoria-Gasteiz. Detalles y especificaciones que contiene el documento: importe, objetivo o finalidad y  beneficiarios.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0035&idioma=es,Subvenciones y ayudas públicas concedidas (corrientes),"Economía,Sector público,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:23:10,,"pdf,pdf,pdf,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",20/09/2017,, 01/01/2013 - ,"Economía,Sector público,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,Usos del suelo del municipio de Vitoria-Gasteiz. Fecha de los datos: 2015. Los datos se ofrecen en PDF y SHP (archivo 7Z).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0073&idioma=es,Mapa de usos del suelo,"Urbanismo e infraestructuras,Mapas y cartografía,Suelo y políticas urbanas",2017/10/20_13:23:11,,"7z,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",19/07/2017,,,"Urbanismo e infraestructuras,Mapas y cartografía,Suelo y políticas urbanas",
GAS,"Subvenciones y ayudas públicas concedidas por el Ayuntamiento de Vitoria-Gasteiz. Detalles y especificaciones que contiene el documento: importe, objetivo o finalidad y  beneficiarios.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0044&idioma=es,Subvenciones y ayudas públicas concedidas (de capital),"Economía,Sector público,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:23:11,,"pdf,pdf,pdf,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",20/09/2017,, 01/01/2013 - ,"Economía,Sector público,Contabilidad pública,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,Itinerarios verdes del municipio de Vitoria-Gasteiz y alrededores. Fecha de los datos: 2016. Los datos se ofrecen en PDF y SHP (archivo 7Z).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0103&idioma=es,Mapa de itinerarios verdes,"Urbanismo e infraestructuras,Cultura y ocio,Medio ambiente,Anillo verde,Bicicletas,Mapas y cartografía,Tiempo libre",2017/10/20_13:23:20,,"7z,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",11/07/2017,,,"Urbanismo e infraestructuras,Cultura y ocio,Medio ambiente,Anillo verde,Bicicletas,Mapas y cartografía,Tiempo libre",
GAS,"Mapa de densidad de población (2006, 2011, 2016) del municipio de Vitoria-Gasteiz. 
Los datos se ofrecen en PDF y TIF (archivo 7Z).",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0089&idioma=es,Mapa de densidad de población,"Demografía,Geografía,Mapas y cartografía,Padrón",2017/10/20_13:23:20,,"pdf,pdf,pdf,7z,7z,7z","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",11/07/2017,,,"Demografía,Geografía,Mapas y cartografía,Padrón",
GAS,Mapa de los límites y de la población de las entidades locales menores del municipio de Vitoria-Gasteiz. Fecha de los datos: 2015. Los datos se ofrecen en PDF y SHP (archivo 7Z).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0072&idioma=es,Mapa de límites y población de entidades locales menores,"Urbanismo e infraestructuras,Medio Rural,Mapas y cartografía",2017/10/20_13:23:21,,"7z,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",10/07/2017,,,"Urbanismo e infraestructuras,Medio Rural,Mapas y cartografía",
GAS,Red de vías ciclistas del municipio de Vitoria-Gasteiz en 2017. Los datos se ofrecen en PDF y SHP (archivo ZIP).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0080&idioma=es,Mapa de vías ciclistas," Transporte y movilidad,Urbanismo e infraestructuras,Bicicletas,Mapas y cartografía",2017/10/20_13:23:21,,"7z,pdf","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",11/07/2017,,," Transporte y movilidad,Urbanismo e infraestructuras,Bicicletas,Mapas y cartografía",
GAS,Datos sobre las 2 encuestas de seguimiento laboral que se realizan a los participantes en los programas de formación para el empleo para conocer su situación laboral (entre los 3 y 6 meses y a los 12 meses de finalizar el programa).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0154&idioma=es,Seguimiento laboral de participantes,"Empleo,Educación,Sector público,Empresa,Formación",2017/10/20_13:23:27,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",26/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Educación,Sector público,Empresa,Formación",
GAS,Plantaciones realizadas en las distintas fases de ejecución del jardín botánico de Olarizu. Fecha de los datos: 2011. Los datos se ofrecen en PDF y SHP (archivo 7Z).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0101&idioma=es,Mapa de arbolado del jardín botánico de Olarizu,"Medio ambiente,Cultura y ocio,Anillo verde,Biodiversidad,Conservación fauna y flora,Mapas y cartografía,Zonas verdes",2017/10/20_13:23:27,,"pdf,7z","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",05/07/2017,,,"Medio ambiente,Cultura y ocio,Anillo verde,Biodiversidad,Conservación fauna y flora,Mapas y cartografía,Zonas verdes",
GAS,Datos sobre programas de formación no presencial online realizados en la biblioteca de CETIC (autoformación) o a través de Internet (elearning) y perfil de participantes.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0152&idioma=es,Programas de formación no presencial online,"Educación,Ciencia y tecnología,Formación,Mercado laboral,Sociedad de la Información",2017/10/20_13:23:40,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",26/06/2017,, 01/01/2016 - 31/12/2016,"Educación,Ciencia y tecnología,Formación,Mercado laboral,Sociedad de la Información",
GAS,Datos sobre las prácticas que realizan en empresas los participantes en los programas de formación para el empleo como complemento a la formación.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0153&idioma=es,Prácticas en empresas,"Empleo,Economía,Empresa,Formación,Mercado laboral",2017/10/20_13:23:40,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",26/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Economía,Empresa,Formación,Mercado laboral",
GAS,Datos sobre programas de formación especializada o reciclaje y perfil de participantes y solicitantes (formación destinada a personas desempleadas que necesitan un reciclaje o actualización o especialización de un perfil profesional que ya poseen).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0151&idioma=es,Programas de formación especializada o reciclaje,"Empleo,Economía,Educación,Empresa,Formación,Mercado laboral",2017/10/20_13:23:41,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",26/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Economía,Educación,Empresa,Formación,Mercado laboral",
GAS,"Ubicación de los mercados, características y tipo de puestos.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0149&idioma=es,Mercados ambulantes en Vitoria-Gasteiz,"Comercio,Economía,Consumo,Empresa",2017/10/20_13:23:41,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Comercio,Economía,Consumo,Empresa",
GAS,Datos sobre los programas de empleo realizados dentro de los planes empleo comarcales y perfil de las personas participantes.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0147&idioma=es,Programas de empleo ,"Empleo,Educación,Sector público,Empresa,Formación,Mercado laboral",2017/10/20_13:23:41,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Educación,Sector público,Empresa,Formación,Mercado laboral",
GAS,Ofertas de empleo gestionadas por el servicio de intermediación laboral.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0146&idioma=es,Servicio de intermediación laboral,"Empleo,Educación,Sector público,Empresa,Mercado laboral",2017/10/20_13:23:42,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Educación,Sector público,Empresa,Mercado laboral",
GAS,Datos sobre la convocatoria de ayudas a la contratación en empresas para personas desempleadas.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0148&idioma=es,Ayudas a la contratación,"Empleo,Economía,Sector público,Contabilidad pública,Formación,Mercado laboral",2017/10/20_13:23:42,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Economía,Sector público,Contabilidad pública,Formación,Mercado laboral",
GAS,Datos sobre las acciones de orientación laboral individual realizadas y del perfil de las personas usuarias del servicio.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0143&idioma=es,Acciones de orientación laboral individual,"Empleo,Economía,Sector público,Atención ciudadana,Mercado laboral",2017/10/20_13:23:42,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Economía,Sector público,Atención ciudadana,Mercado laboral",
GAS,Datos sobre programas de formación profesional ocupacional y perfil de participantes y solicitantes (formación destinada a personas desempleadas para que adquieran un nuevo y completo perfil profesional).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0150&idioma=es,Programas de formación profesional ocupacional,"Empleo,Educación,Sector público,Empresa,Formación,Mercado laboral",2017/10/20_13:23:47,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Educación,Sector público,Empresa,Formación,Mercado laboral",
GAS,Datos sobre las acciones y perfil de participantes en las actuaciones de dinamización de recursos personales para el empleo que se desarrollan en grupos.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0145&idioma=es,Acciones de orientación laboral grupal,"Empleo,Economía,Educación,Sector público,Sociedad y bienestar,Empresa,Formación,Mercado laboral",2017/10/20_13:23:47,,"ods,ods,ods,ods,ods","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Economía,Educación,Sector público,Sociedad y bienestar,Empresa,Formación,Mercado laboral",
GAS,"Datos sobre el uso, ocupación y perfil de las personas usuarias del Centro de Empleo del Ayuntamiento de Vitoria-Gasteiz.",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0144&idioma=es,Centro de Empleo del Ayuntamiento,"Empleo,Educación,Sector público,Empresa,Mercado laboral",2017/10/20_13:23:59,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",23/06/2017,, 01/01/2016 - 31/12/2016,"Empleo,Educación,Sector público,Empresa,Mercado laboral",
GAS,En este documento se exponen los datos referidos a la serie 1988-2017 sobre el importe destinado a la cooperación al desarrollo. Los datos también pueden verse a través de una gráfica de evolución. ,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0134&idioma=es,Importe destinado a la Cooperación al desarrollo,"Sociedad y bienestar,Sin etiqueta",2017/10/20_13:23:59,,ods,"Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",09/06/2017,, 01/01/1988 - 31/12/2017,"Sociedad y bienestar,Sin etiqueta",
GAS,Periodo medio de pago global del Ayuntamiento de Vitoria-Gasteiz y las Entidades municipales en 2016. Informes relativos a las medidas de lucha contra la morosidad en las operaciones comerciales de pago a proveedores.,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0008&idioma=es,Periodo medio de pago global en 2016,"Economía,Sector público,Contabilidad pública,Deuda,ITA -Índice de Transparencia de los Ayuntamientos-",2017/10/20_13:24:00,,"xls,xls,ods,ods,ods,ods,ods,ods,ods,ods,ods,ods,ods,ods,ods,ods","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",05/06/2017,, 01/01/2016 - 31/12/2016,"Economía,Sector público,Contabilidad pública,Deuda,ITA -Índice de Transparencia de los Ayuntamientos-",
GAS,"Valoración de la fragilidad de la vegetación en los biotopos. La metodología seguida se especifica en el pdf ""metodología"". Los datos se ofrecen en PDF y SPH (archivo 7Z).",Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0124&idioma=es,Fragilidad de la vegetación,"Medio ambiente,Biodiversidad,Conservación fauna y flora,Geografía,Mapas y cartografía",2017/10/20_13:24:01,,"pdf,pdf,zip","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",10/05/2017,,,"Medio ambiente,Biodiversidad,Conservación fauna y flora,Geografía,Mapas y cartografía",
GAS,Mapa de orientaciones del municipio de Vitoria-Gasteiz. Los mapas se ofrecen con las orientaciones expresadas en segmentos de la rosa de los vientos y en grados. Los datos se ofrecen en pdf y shp o ráster(archivo zip).,Vitoria-Gasteiz,http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&uid=app_j34_0118&idioma=es,Mapa de orientaciones,"Medio ambiente,Geografía,Mapas y cartografía",2017/10/20_13:24:01,,"pdf,pdf,7z,zip","Licencia CC BY 4.0 (Internacional): Se permite cualquier explotación de la obra, incluyendo una finalidad comercial, así como la creación de obras derivadas, la distribución de las cuales también está permitida sin ninguna restricción.",10/05/2017,,,"Medio ambiente,Geografía,Mapas y cartografía",
