city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
GAV,Directori d'empreses de la ciutat,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/qgvt-6xnr.json,Empreses de la ciutat,empreses,2017/10/20_13:25:14,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:40:13,,2017/10/20_12:40:16,Ciutat,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/jf5e-hzjv.json,Gràfic-Despeses personal de l'Ajuntament de Gavà l'any 2014,"rrhh,nòmines,càrrecs,polítics",2017/10/20_13:25:14,Anual,,Creative Commons Attribution 4.0 International,2014/06/04_10:14:06,,2014/06/04_10:14:39,Vistes,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/b7j7-rbtd.json,"Execució del pressupost d'ingressos d'impostos, taxes i altres de dret públic de 2017","guals,ibi,rústega,urbana,escombraries,mercats,taxa,domiciliat",2017/10/20_13:25:14,Mensual,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:06,,2017/10/20_12:39:14,Gestió Econòmica,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/r3kt-gchc.json,Mapa de calor - Comerços,,2017/10/20_13:25:15,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:47,,2017/09/11_12:40:18,Vistes,
GAV,Relació de les entitats inscrites en el registre municipal d'associacions.,Clare Zimmerman,https://gavaobert.gavaciutat.cat/api/views/dd5y-k7f8.json,Associacions,"associacions,teixit associatiu,esport,cultura,veïns",2017/10/20_13:25:15,Anual,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:26,,2017/10/20_12:39:32,Ciutat,
GAV,Directori de comerços de la ciutat,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/jq7p-ds32.json,Comerços de la ciutat,"comerç,empresa,restaurant,botiga",2017/10/20_13:25:15,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:47,,2017/10/20_12:39:58,Ciutat,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/aw6a-nnyp.json,Filtre - Comerços,,2017/10/20_13:25:15,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:47,,2017/09/11_12:40:18,Vistes,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/p6vt-6xtp.json,Mapa - Restaurants,,2017/10/20_13:25:16,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:47,,2017/09/11_12:40:18,Vistes,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/29ca-mfus.json,Gràfic  - Despesa de 2017 per proveïdor,,2017/10/20_13:25:16,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:34:56,,2017/09/11_12:34:41,Vistes,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/x89f-65fp.json,Filtre - Despesa de personal de llocs de treball no electes 2014,"rrhh,nòmines",2017/10/20_13:25:16,Anual,,Creative Commons Attribution 4.0 International,2014/06/04_10:14:06,,2014/06/04_10:14:39,Vistes,
GAV,Despeses de tot el personal de l'Ajuntament de Gavà l'any 2014,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/6nq9-xnmt.json,Despeses de personal 2014,"rrhh,nòmines,càrrecs,polítics,sous,salaris",2017/10/20_13:25:16,Anual,,Creative Commons Attribution 4.0 International,2014/06/04_10:14:06,,2014/06/04_10:14:39,Organització i Acció de Govern,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/rycj-dxm4.json,"Serveis Socials: entrevistes i beneficiaris per mes, any i zona","beneficiaris,entrevistes,zones,serveis socials",2017/10/20_13:25:17,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:34:15,,2017/10/20_12:34:19,Ciutat,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/gteq-x3gs.json,Mapa de calor - Bars i restaurants,,2017/10/20_13:25:17,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:39:47,,2017/09/11_12:40:18,Vistes,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/g66g-e67m.json,Despesa facturada per proveïdor al 2017,proveïdor,2017/10/20_13:25:17,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:34:56,,2017/10/20_12:35:04,Gestió Econòmica,
GAV,,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/etzn-wtw5.json,Cens d'animals domèstics,"animals,gossos,gats,gos,gat,cens,censo,perros,gatos,animales",2017/10/20_13:25:18,Anual,,Creative Commons Attribution 4.0 International,2017/10/20_12:40:31,,2017/10/20_12:40:32,Ciutat,
GAV,Despesa de 2017,Carmen Lavado,https://gavaobert.gavaciutat.cat/api/views/92n7-bf4x.json,Gràfic - Proveïdors > 18.000,,2017/10/20_13:25:18,Diari,,Creative Commons Attribution 4.0 International,2017/10/20_12:34:56,,2017/09/11_12:34:41,Vistes,
