city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
SEV,not-found,,http://datosabiertos.sevilla.org/data/?offset=140&limit=10,not-found,,2017/10/20_14:10:25,,,,,,,,
SEV,Estado de ejecución de ingresos del presupuesto del Ayuntamiento de Sevilla en el primer y segundo trimestre del ejercicio 2017,Ayuntamiento de Sevilla,http://datosabiertos.sevilla.org/dataset/?id=ayuntamiento-estado-ejecucion-ingresos-presupuesto-2017,Ayuntamiento Estado de Ejecución de Ingresos Presupuesto  2017,,2017/10/20_14:10:26,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),26/07/2017 12:07:00,,26/07/2017 12:51:11,"Economía,Sector Público",
SEV,Estado de ejecución  de gastosdel presupuesto del Ayuntamiento en el primer y segundo  trimestre de 2017.,Ayuntamiento de Sevilla,http://datosabiertos.sevilla.org/dataset/?id=ayuntamiento-estado-ejecucion-presupuesto-1trimestre-2017,Ayuntamiento Estado de Ejecución de Gastos Presupuesto  2017,,2017/10/20_14:10:26,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),05/06/2017 12:06:00,,05/06/2017 09:15:36,"Economía,Sector Público",
SEV,Estado de ejecución de ingresos del primer y segundo trimestre del presupuesto de la Gerencia Municipal de Urbanismo.,Gerencia de Urbanismo (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=estado-ejecucion-ingresos-2017-gerencia-municipal-urbanismo,Estado Ejecución Ingresos Gerencia Municipal Urbanismo 2017,,2017/10/20_14:10:28,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),27/07/2017 12:07:00,,27/07/2017 11:49:12,"Economía,Sector Público",
SEV,Estado de ejecución de gastos del Presupuesto de la Gerencia Municipal de Urbanismo en el primer y segundo trimestre del ejercicio 2017,Gerencia de Urbanismo (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=estado-ejecucion-del-presupuesto-gerencia-muncipal-de-urbanismo-2017,Estado Ejecución Gastos Gerencia Muncipal de Urbanismo 2017,,2017/10/20_14:10:28,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),05/06/2017 12:06:00,,05/06/2017 09:23:58,"Economía,Sector Público",
SEV,Estado de ejecución de ingresos del presupuesto de la Agencia Tributraria del Ayuntamiento de Sevilla en el primer trimestre del ejercicio 2017.,Agencia Tributaria de Sevilla (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=estado-ejecucion-ingresos-agencia-tributaria-ayuntamiento-sevilla-20177,Estado Ejecución Ingresos Agencia Tributaria Ayuntamiento Sevilla 20177,,2017/10/20_14:10:29,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),28/07/2017 12:07:00,,28/07/2017 08:39:35,"Economía,Sector Público",
SEV,Estado de ejecución de gastos del presupuesto de la Agencia Tributaria del Ayuntamiento de Sevilla en el primer y segundo trimestre del ejercicio 2017.,Agencia Tributaria de Sevilla (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=atse-estado-ejecucion-presupuesto-2017,Estado Ejecución Gastos Agencia Tributria Ayuntamiento Sevilla 2017,,2017/10/20_14:10:29,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),05/06/2017 12:06:00,,05/06/2017 09:45:41,"Economía,Sector Público",
SEV,Estado de ejecución de ingresos del primer y segundo trimestre del presupuesto del Instituto Municipal de Deportes correspondiente al ejercicio 2017.,Instituto Municipal de Deportes (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=estado-ejecucion-ingresos-instituto-municipal-deportes-2017,Estado Ejecución Ingresos Instituto Municipal Deportes 2017,,2017/10/20_14:10:31,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),28/07/2017 12:07:00,,28/07/2017 07:53:46,"Economía,Sector Público",
SEV,Estado de ejecución del primer y segundo trimestre delpresupuesto del Instituto Municipal de Deportes correspondiente al ejercicio 2017.,Instituto Municipal de Deportes (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=estado-ejecucion-presupuesto-instituto-municipal-deportes-2017,Estado Ejecución Gastos Instituto Municipal Deportes 2017,,2017/10/20_14:10:31,Anual,"CSV,XML,CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),05/06/2017 12:06:00,,05/06/2017 09:30:31,"Economía,Sector Público",
SEV,Estado de ejecución del Presupuesto del Instituto de la Cultura y la Artes de Sevilla en el primer y segundo trimestre del ejercicio 2017.,Instituto de la Cultura y las Artes de Sevilla (Ayuntamiento de Sevilla),http://datosabiertos.sevilla.org/dataset/?id=estado-ejecucion-gastos-instituto-cultura-y-artes-sevilla-2017,Estado Ejecución Gastos Instituto Cultura y Artes Sevilla 2017,,2017/10/20_14:10:32,Anual,"CSV,XML",Atribución 4.0 Internacional (CC BY 4.0),05/06/2017 12:06:00,,05/06/2017 10:17:54,"Economía,Sector Público",
