city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
VAL,,,http://gobiernoabierto.valencia.es/es/data/?offset=110&limit=10,not-found,,2017/10/20_10:57:12,,,,,,,,
VAL,Datos diarios del último mes de las estaciones de medición de ruido en via pública. Informe de evolución mensual. Promedios diarios,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=datos-diarios-ultimo-mes-estaciones-ruido,Datos diarios del último mes de las estaciones de ruido.,,2017/10/20_10:57:14,Mensual,CSV,Atribución 4.0 Internacional (CC BY 4.0),10/10/2017 12:10:00,,21/11/2014 09:17:59,"Medio Ambiente,
                    ",
VAL,Sentidos de circulación de tráfico. Elemento puntual.,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=sentidos-circulacion,Sentidos de circulación,,2017/10/20_10:57:14,Semestral,"WFS,CSV,GEOJSON,SHAPE,GML,WMS,KML,KMZ",Atribución 4.0 Internacional (CC BY 4.0),03/05/2017 12:05:00,,28/10/2014 11:02:42,"Transporte,
                    ",
VAL,Paneles informativos de la sala de control de tráfico en la ciudad de Valencia,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=paneles-informativos,Paneles informativos,,2017/10/20_10:57:16,Mensual,"WFS,CSV,GEOJSON,SHAPE,GML,WMS,KML,KMZ",Atribución 4.0 Internacional (CC BY 4.0),14/09/2017 12:09:00,,28/10/2014 08:58:51,"Transporte,
                    ",
VAL,Cámaras de tráfico existentes en la ciudad de valencia.,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=camaras-trafico,Cámaras de tráfico,,2017/10/20_10:57:16,Mensual,"WFS,CSV,GEOJSON,SHAPE,GML,WMS,KML,KMZ",Atribución 4.0 Internacional (CC BY 4.0),14/09/2017 12:09:00,,28/10/2014 09:28:15,"Transporte,
                    ",
VAL,"Datos geográficos sobre la localización de los reguladores de los grupos semafóricos, indicando si  gestionan semáforos de led o halógenos.",Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=reguladores-grupos-semaforicos,Reguladores que gestionan los grupos semafóricos,,2017/10/20_10:57:17,Mensual,"CSV,GML,GEOJSON,KML,KMZ,SHAPE,WFS,WMS",Atribución 4.0 Internacional (CC BY 4.0),14/09/2017 12:09:00,,19/05/2015 11:00:03,"Transporte,
                    ",
VAL,Itinerarios ciclistas de la ciudad de Valencia,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=carril-bici,Carril Bici,,2017/10/20_10:57:17,Trimestral,"WFS,CSV,GEOJSON,SHAPE,GML,WMS,KML,KMZ",Atribución 4.0 Internacional (CC BY 4.0),15/09/2017 12:09:00,,28/10/2014 09:35:16,"Transporte,Turismo",
VAL,Fichero Google Transit de las líneas de autobuses de la EMT de Valencia,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=google-transit-lineas-paradas-horarios-de-autobuses,"Google Transit. Líneas, paradas, horarios de autobuses de la EMT de Valencia",,2017/10/20_10:57:19,2 meses,ZIP,Atribución 4.0 Internacional (CC BY 4.0),05/09/2017 12:09:00,,10/06/2016 07:33:33,"Transporte,
                    ",
VAL,Datos diarios del último mes de la estación de contaminación atmosférica de Universidad Politécnica (1A).,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=datos-contaminacion-atmosferica-universidad-politecnica-1a,Datos de la estación de contaminación atmosférica de Universidad Politécnica (1A),,2017/10/20_10:57:19,Mensual,CSV,Atribución 4.0 Internacional (CC BY 4.0),11/08/2017 12:08:00,,21/11/2014 08:51:04,"Medio Ambiente,
                    ",
VAL,Datos diarios del último mes de la estación de contaminación atmosférica de Molí del Sol (3A).,Ayuntamiento de Valencia,http://gobiernoabierto.valencia.es/es/dataset/?id=datos-contaminacion-atmosferica-moli-sol-3a,Datos de la estación de contaminación atmosférica de Molí del Sol (3A),,2017/10/20_10:57:21,Mensual,CSV,Atribución 4.0 Internacional (CC BY 4.0),11/08/2017 12:08:00,,21/11/2014 08:28:54,"Medio Ambiente,
                    ",
