city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
GRA,,Manel Olano,https://opendata.granollers.cat/views/vrsj-7ztx.json,Regidors a les eleccions municipals de 2015,eleccions,2017/10/23_10:33:02,,,Creative Commons 1.0 Universal (Public Domain Dedication),2017/06/08_13:48:10,,2017/06/08_13:48:31,Administració,
GRA,,Manel Olano,https://opendata.granollers.cat/views/idq4-6fnw.json,Evolució en regidors dels partits en les eleccions municipals,eleccions,2017/10/23_10:33:02,,,Creative Commons 1.0 Universal (Public Domain Dedication),2015/05/25_09:14:59,,2015/05/25_09:15:03,Administració,
GRA,,Manel Olano,https://opendata.granollers.cat/views/p538-v8dy.json,Evolució dels vots nuls i blancs en les eleccions municipals,eleccions,2017/10/23_10:33:02,,,Creative Commons 1.0 Universal (Public Domain Dedication),2015/05/25_09:14:59,,2015/05/25_09:15:03,Administració,
GRA,,Manel Olano,https://opendata.granollers.cat/views/m2xs-6pei.json,Evolució en vots de les eleccions municipals dels grups amb representació,eleccions,2017/10/23_10:33:02,,,Creative Commons 1.0 Universal (Public Domain Dedication),2015/05/25_09:14:59,,2015/05/25_09:15:03,Administració,
GRA,,Manel Olano,https://opendata.granollers.cat/views/t5wz-nv57.json,Horaris de bus urbà de Granollers,"horaris,bus",2017/10/23_10:33:03,,,Creative Commons 1.0 Universal (Public Domain Dedication),2015/01/26_14:25:52,,2015/01/26_14:26:13,Ciutat i serveis,
GRA,,Manel Olano,https://opendata.granollers.cat/views/ezxz-26zp.json,Comparativa en % vots de 2011 i 2015 en les eleccions municipals,eleccions,2017/10/23_10:33:03,,,Creative Commons 1.0 Universal (Public Domain Dedication),2017/06/08_13:48:10,,2017/06/08_13:48:31,Administració,
GRA,,Manel Olano,https://opendata.granollers.cat/views/qj6m-dnsn.json,Regidors a les eleccions municipals de 2011,eleccions,2017/10/23_10:33:03,,,Creative Commons 1.0 Universal (Public Domain Dedication),2017/06/08_13:48:10,,2017/06/08_13:48:31,Administració,
GRA,"Mapa d'espais situats a peu de carrer que generen i intercanvien productes, béns o serveis.",Manel Olano,https://opendata.granollers.cat/views/6kxs-jx4f.json,Mapa d'activitats econòmiques a peu de carrer,activitats,2017/10/23_10:33:03,,,Creative Commons 1.0 Universal (Public Domain Dedication),2017/05/22_13:38:55,,2017/05/22_13:39:19,Economia i empresa,
GRA,Dades definitives de població de Granollers a 1 de gener de l'any en qüestió.,Sergi Morera,https://opendata.granollers.cat/views/mpvr-tvvf.json,Padró de població continu de Granollers,població,2017/10/23_10:33:04,,,Creative Commons 1.0 Universal (Public Domain Dedication),2017/04/10_10:18:58,,2017/04/10_10:20:30,Població,
GRA,Factures comptabilitzades dels proveïdors de l'Ajuntament de Granollers,Manel Olano,https://opendata.granollers.cat/views/czuk-43hr.json,Factures dels proveïdors de l'Ajuntament de Granollers,"factures,proveïdors",2017/10/23_10:33:04,,,Creative Commons 1.0 Universal (Public Domain Dedication),2017/10/06_13:10:44,,2017/10/06_13:11:42,Administració,
